[2026-01-29 13:43:16.115223] Looking for connection...
[2026-01-29 13:43:16.115303] Got it
[2026-01-29 13:43:16.115323] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2026-01-29 13:46:40.233023] 64 bytes from 172.16.0.1: icmp_seq=986 ttl=64 time=1920 ms
[2026-01-29 13:46:42.526796] 64 bytes from 172.16.0.1: icmp_seq=999 ttl=64 time=1537 ms
[2026-01-29 13:46:42.904770] 64 bytes from 172.16.0.1: icmp_seq=1000 ttl=64 time=1699 ms
[2026-01-29 13:46:45.699658] 64 bytes from 172.16.0.1: icmp_seq=1015 ttl=64 time=1430 ms
[2026-01-29 13:46:53.056826] 64 bytes from 172.16.0.1: icmp_seq=1051 ttl=64 time=1420 ms
[2026-01-29 13:46:54.486776] 64 bytes from 172.16.0.1: icmp_seq=1059 ttl=64 time=1209 ms
[2026-01-29 13:46:55.960766] 64 bytes from 172.16.0.1: icmp_seq=1065 ttl=64 time=1459 ms
[2026-01-29 13:47:01.230702] 64 bytes from 172.16.0.1: icmp_seq=1090 ttl=64 time=1609 ms
[2026-01-29 13:47:01.485819] 64 bytes from 172.16.0.1: icmp_seq=1091 ttl=64 time=1660 ms
[2026-01-29 13:47:07.815855] 64 bytes from 172.16.0.1: icmp_seq=1126 ttl=64 time=823 ms
[2026-01-29 13:47:09.285388] 64 bytes from 172.16.0.1: icmp_seq=1133 ttl=64 time=862 ms
[2026-01-29 13:47:09.907566] 64 bytes from 172.16.0.1: icmp_seq=1136 ttl=64 time=874 ms
[2026-01-29 13:47:10.237809] 64 bytes from 172.16.0.1: icmp_seq=1137 ttl=64 time=1000 ms
[2026-01-29 13:47:10.393308] 64 bytes from 172.16.0.1: icmp_seq=1138 ttl=64 time=956 ms
[2026-01-29 13:47:14.021401] 64 bytes from 172.16.0.1: icmp_seq=1155 ttl=64 time=1120 ms
[2026-01-29 13:47:19.683939] 64 bytes from 172.16.0.1: icmp_seq=1182 ttl=64 time=1234 ms
[2026-01-29 13:47:19.869296] 64 bytes from 172.16.0.1: icmp_seq=1183 ttl=64 time=1216 ms
