[2026-01-20 17:44:31.923569] Looking for connection...
[2026-01-20 17:44:33.899928] Looking for connection...
[2026-01-20 17:44:35.902689] Looking for connection...
[2026-01-20 17:44:37.906407] Looking for connection...
[2026-01-20 17:44:37.976077] Got it
[2026-01-20 17:44:37.977268] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2026-01-20 17:44:38.039974] 64 bytes from 172.16.0.1: icmp_seq=1 ttl=64 time=62.6 ms
[2026-01-20 17:44:38.292269] 64 bytes from 172.16.0.1: icmp_seq=2 ttl=64 time=114 ms
[2026-01-20 17:44:38.479330] 64 bytes from 172.16.0.1: icmp_seq=3 ttl=64 time=102 ms
[2026-01-20 17:44:38.866292] 64 bytes from 172.16.0.1: icmp_seq=4 ttl=64 time=288 ms
[2026-01-20 17:44:40.207395] 64 bytes from 172.16.0.1: icmp_seq=7 ttl=64 time=1014 ms
[2026-01-20 17:44:40.926888] 64 bytes from 172.16.0.1: icmp_seq=11 ttl=64 time=904 ms
[2026-01-20 17:44:41.295891] 64 bytes from 172.16.0.1: icmp_seq=13 ttl=64 time=866 ms
[2026-01-20 17:44:41.633378] 64 bytes from 172.16.0.1: icmp_seq=15 ttl=64 time=796 ms
[2026-01-20 17:44:43.139424] 64 bytes from 172.16.0.1: icmp_seq=22 ttl=64 time=882 ms
[2026-01-20 17:44:43.455297] 64 bytes from 172.16.0.1: icmp_seq=24 ttl=64 time=790 ms
[2026-01-20 17:44:44.216005] 64 bytes from 172.16.0.1: icmp_seq=27 ttl=64 time=942 ms
[2026-01-20 17:44:44.418296] 64 bytes from 172.16.0.1: icmp_seq=29 ttl=64 time=740 ms
[2026-01-20 17:44:45.551535] 64 bytes from 172.16.0.1: icmp_seq=34 ttl=64 time=862 ms
[2026-01-20 17:44:46.110414] 64 bytes from 172.16.0.1: icmp_seq=37 ttl=64 time=805 ms
[2026-01-20 17:44:46.553413] 64 bytes from 172.16.0.1: icmp_seq=39 ttl=64 time=844 ms
[2026-01-20 17:44:46.659324] 64 bytes from 172.16.0.1: icmp_seq=40 ttl=64 time=745 ms
[2026-01-20 17:44:47.340317] 64 bytes from 172.16.0.1: icmp_seq=43 ttl=64 time=811 ms
[2026-01-20 17:44:48.295414] 64 bytes from 172.16.0.1: icmp_seq=47 ttl=64 time=955 ms
[2026-01-20 17:44:49.246344] 64 bytes from 172.16.0.1: icmp_seq=52 ttl=64 time=894 ms
[2026-01-20 17:44:50.119137] 64 bytes from 172.16.0.1: icmp_seq=56 ttl=64 time=950 ms
[2026-01-20 17:44:50.862575] 64 bytes from 172.16.0.1: icmp_seq=60 ttl=64 time=877 ms
[2026-01-20 17:44:51.023466] 64 bytes from 172.16.0.1: icmp_seq=61 ttl=64 time=837 ms
[2026-01-20 17:44:51.222488] 64 bytes from 172.16.0.1: icmp_seq=62 ttl=64 time=833 ms
[2026-01-20 17:44:52.214425] 64 bytes from 172.16.0.1: icmp_seq=67 ttl=64 time=815 ms
[2026-01-20 17:44:53.153293] 64 bytes from 172.16.0.1: icmp_seq=72 ttl=64 time=736 ms
[2026-01-20 17:44:53.513830] 64 bytes from 172.16.0.1: icmp_seq=73 ttl=64 time=888 ms
[2026-01-20 17:44:54.673948] 64 bytes from 172.16.0.1: icmp_seq=79 ttl=64 time=825 ms
[2026-01-20 17:44:54.973350] 64 bytes from 172.16.0.1: icmp_seq=80 ttl=64 time=920 ms
[2026-01-20 17:44:55.640419] 64 bytes from 172.16.0.1: icmp_seq=84 ttl=64 time=751 ms
[2026-01-20 17:44:57.067439] 64 bytes from 172.16.0.1: icmp_seq=90 ttl=64 time=962 ms
[2026-01-20 17:44:57.205460] 64 bytes from 172.16.0.1: icmp_seq=91 ttl=64 time=896 ms
[2026-01-20 17:44:57.610524] 64 bytes from 172.16.0.1: icmp_seq=93 ttl=64 time=889 ms
[2026-01-20 17:44:57.941325] 64 bytes from 172.16.0.1: icmp_seq=95 ttl=64 time=816 ms
[2026-01-20 17:44:58.533546] 64 bytes from 172.16.0.1: icmp_seq=98 ttl=64 time=804 ms
[2026-01-20 17:44:58.635391] 64 bytes from 172.16.0.1: icmp_seq=99 ttl=64 time=702 ms
[2026-01-20 17:44:59.038359] 64 bytes from 172.16.0.1: icmp_seq=101 ttl=64 time=701 ms
[2026-01-20 17:44:59.557409] 64 bytes from 172.16.0.1: icmp_seq=103 ttl=64 time=813 ms
[2026-01-20 17:45:00.009574] 64 bytes from 172.16.0.1: icmp_seq=105 ttl=64 time=863 ms
[2026-01-20 17:45:00.206388] 64 bytes from 172.16.0.1: icmp_seq=106 ttl=64 time=852 ms
[2026-01-20 17:45:00.405362] 64 bytes from 172.16.0.1: icmp_seq=107 ttl=64 time=848 ms
[2026-01-20 17:45:00.619803] 64 bytes from 172.16.0.1: icmp_seq=109 ttl=64 time=654 ms
[2026-01-20 17:45:01.103785] 64 bytes from 172.16.0.1: icmp_seq=111 ttl=64 time=737 ms
[2026-01-20 17:45:01.420436] 64 bytes from 172.16.0.1: icmp_seq=112 ttl=64 time=853 ms
[2026-01-20 17:45:01.682778] 64 bytes from 172.16.0.1: icmp_seq=115 ttl=64 time=512 ms
[2026-01-20 17:45:02.770008] 64 bytes from 172.16.0.1: icmp_seq=119 ttl=64 time=793 ms
[2026-01-20 17:45:03.009570] 64 bytes from 172.16.0.1: icmp_seq=120 ttl=64 time=828 ms
[2026-01-20 17:45:04.074266] 64 bytes from 172.16.0.1: icmp_seq=125 ttl=64 time=877 ms
[2026-01-20 17:45:04.363718] 64 bytes from 172.16.0.1: icmp_seq=126 ttl=64 time=962 ms
[2026-01-20 17:45:05.085605] 64 bytes from 172.16.0.1: icmp_seq=130 ttl=64 time=871 ms
[2026-01-20 17:45:05.314339] 64 bytes from 172.16.0.1: icmp_seq=131 ttl=64 time=901 ms
[2026-01-20 17:45:05.705460] 64 bytes from 172.16.0.1: icmp_seq=134 ttl=64 time=680 ms
[2026-01-20 17:45:06.193282] 64 bytes from 172.16.0.1: icmp_seq=136 ttl=64 time=768 ms
[2026-01-20 17:45:07.075414] 64 bytes from 172.16.0.1: icmp_seq=140 ttl=64 time=838 ms
[2026-01-20 17:45:07.518580] 64 bytes from 172.16.0.1: icmp_seq=142 ttl=64 time=869 ms
[2026-01-20 17:45:07.613505] 64 bytes from 172.16.0.1: icmp_seq=143 ttl=64 time=760 ms
[2026-01-20 17:45:07.894315] 64 bytes from 172.16.0.1: icmp_seq=144 ttl=64 time=835 ms
[2026-01-20 17:45:08.126394] 64 bytes from 172.16.0.1: icmp_seq=145 ttl=64 time=867 ms
[2026-01-20 17:45:08.740426] 64 bytes from 172.16.0.1: icmp_seq=148 ttl=64 time=875 ms
[2026-01-20 17:45:09.309436] 64 bytes from 172.16.0.1: icmp_seq=151 ttl=64 time=840 ms
[2026-01-20 17:45:09.552383] 64 bytes from 172.16.0.1: icmp_seq=153 ttl=64 time=678 ms
[2026-01-20 17:45:09.903338] 64 bytes from 172.16.0.1: icmp_seq=154 ttl=64 time=826 ms
[2026-01-20 17:45:11.220516] 64 bytes from 172.16.0.1: icmp_seq=160 ttl=64 time=931 ms
[2026-01-20 17:45:11.337447] 64 bytes from 172.16.0.1: icmp_seq=161 ttl=64 time=844 ms
[2026-01-20 17:45:11.587437] 64 bytes from 172.16.0.1: icmp_seq=162 ttl=64 time=890 ms
[2026-01-20 17:45:12.649332] 64 bytes from 172.16.0.1: icmp_seq=167 ttl=64 time=943 ms
[2026-01-20 17:45:12.872294] 64 bytes from 172.16.0.1: icmp_seq=168 ttl=64 time=962 ms
[2026-01-20 17:45:13.061406] 64 bytes from 172.16.0.1: icmp_seq=169 ttl=64 time=947 ms
[2026-01-20 17:45:13.741352] 64 bytes from 172.16.0.1: icmp_seq=172 ttl=64 time=1016 ms
[2026-01-20 17:45:14.049581] 64 bytes from 172.16.0.1: icmp_seq=174 ttl=64 time=923 ms
[2026-01-20 17:45:14.216435] 64 bytes from 172.16.0.1: icmp_seq=175 ttl=64 time=887 ms
[2026-01-20 17:45:14.898305] 64 bytes from 172.16.0.1: icmp_seq=178 ttl=64 time=952 ms
[2026-01-20 17:45:15.725304] 64 bytes from 172.16.0.1: icmp_seq=185 ttl=64 time=360 ms
[2026-01-20 17:45:18.059968] 64 bytes from 172.16.0.1: icmp_seq=195 ttl=64 time=643 ms
[2026-01-20 17:45:19.021715] 64 bytes from 172.16.0.1: icmp_seq=198 ttl=64 time=992 ms
[2026-01-20 17:45:19.278030] 64 bytes from 172.16.0.1: icmp_seq=199 ttl=64 time=1048 ms
[2026-01-20 17:45:19.530159] 64 bytes from 172.16.0.1: icmp_seq=200 ttl=64 time=1096 ms
[2026-01-20 17:45:20.005575] 64 bytes from 172.16.0.1: icmp_seq=202 ttl=64 time=1164 ms
[2026-01-20 17:45:20.356066] 64 bytes from 172.16.0.1: icmp_seq=204 ttl=64 time=1111 ms
[2026-01-20 17:45:20.945998] 64 bytes from 172.16.0.1: icmp_seq=207 ttl=64 time=1097 ms
[2026-01-20 17:45:21.191094] 64 bytes from 172.16.0.1: icmp_seq=208 ttl=64 time=1141 ms
[2026-01-20 17:45:21.356951] 64 bytes from 172.16.0.1: icmp_seq=209 ttl=64 time=1104 ms
[2026-01-20 17:45:21.712958] 64 bytes from 172.16.0.1: icmp_seq=210 ttl=64 time=1260 ms
[2026-01-20 17:45:21.930029] 64 bytes from 172.16.0.1: icmp_seq=211 ttl=64 time=1269 ms
[2026-01-20 17:45:22.064947] 64 bytes from 172.16.0.1: icmp_seq=212 ttl=64 time=1200 ms
[2026-01-20 17:45:23.864012] 64 bytes from 172.16.0.1: icmp_seq=220 ttl=64 time=1382 ms
[2026-01-20 17:45:24.026321] 64 bytes from 172.16.0.1: icmp_seq=221 ttl=64 time=1341 ms
[2026-01-20 17:45:24.108193] 64 bytes from 172.16.0.1: icmp_seq=222 ttl=64 time=1219 ms
[2026-01-20 17:45:24.357991] 64 bytes from 172.16.0.1: icmp_seq=223 ttl=64 time=1265 ms
