time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-20 17:44:38.039974,64,172.16.0.1:,1,64,62.6
2026-01-20 17:44:38.292269,64,172.16.0.1:,2,64,114
2026-01-20 17:44:38.479330,64,172.16.0.1:,3,64,102
2026-01-20 17:44:38.866292,64,172.16.0.1:,4,64,288
2026-01-20 17:44:40.207395,64,172.16.0.1:,7,64,1014
2026-01-20 17:44:40.926888,64,172.16.0.1:,11,64,904
2026-01-20 17:44:41.295891,64,172.16.0.1:,13,64,866
2026-01-20 17:44:41.633378,64,172.16.0.1:,15,64,796
2026-01-20 17:44:43.139424,64,172.16.0.1:,22,64,882
2026-01-20 17:44:43.455297,64,172.16.0.1:,24,64,790
2026-01-20 17:44:44.216005,64,172.16.0.1:,27,64,942
2026-01-20 17:44:44.418296,64,172.16.0.1:,29,64,740
2026-01-20 17:44:45.551535,64,172.16.0.1:,34,64,862
2026-01-20 17:44:46.110414,64,172.16.0.1:,37,64,805
2026-01-20 17:44:46.553413,64,172.16.0.1:,39,64,844
2026-01-20 17:44:46.659324,64,172.16.0.1:,40,64,745
2026-01-20 17:44:47.340317,64,172.16.0.1:,43,64,811
2026-01-20 17:44:48.295414,64,172.16.0.1:,47,64,955
2026-01-20 17:44:49.246344,64,172.16.0.1:,52,64,894
2026-01-20 17:44:50.119137,64,172.16.0.1:,56,64,950
2026-01-20 17:44:50.862575,64,172.16.0.1:,60,64,877
2026-01-20 17:44:51.023466,64,172.16.0.1:,61,64,837
2026-01-20 17:44:51.222488,64,172.16.0.1:,62,64,833
2026-01-20 17:44:52.214425,64,172.16.0.1:,67,64,815
2026-01-20 17:44:53.153293,64,172.16.0.1:,72,64,736
2026-01-20 17:44:53.513830,64,172.16.0.1:,73,64,888
2026-01-20 17:44:54.673948,64,172.16.0.1:,79,64,825
2026-01-20 17:44:54.973350,64,172.16.0.1:,80,64,920
2026-01-20 17:44:55.640419,64,172.16.0.1:,84,64,751
2026-01-20 17:44:57.067439,64,172.16.0.1:,90,64,962
2026-01-20 17:44:57.205460,64,172.16.0.1:,91,64,896
2026-01-20 17:44:57.610524,64,172.16.0.1:,93,64,889
2026-01-20 17:44:57.941325,64,172.16.0.1:,95,64,816
2026-01-20 17:44:58.533546,64,172.16.0.1:,98,64,804
2026-01-20 17:44:58.635391,64,172.16.0.1:,99,64,702
2026-01-20 17:44:59.038359,64,172.16.0.1:,101,64,701
2026-01-20 17:44:59.557409,64,172.16.0.1:,103,64,813
2026-01-20 17:45:00.009574,64,172.16.0.1:,105,64,863
2026-01-20 17:45:00.206388,64,172.16.0.1:,106,64,852
2026-01-20 17:45:00.405362,64,172.16.0.1:,107,64,848
2026-01-20 17:45:00.619803,64,172.16.0.1:,109,64,654
2026-01-20 17:45:01.103785,64,172.16.0.1:,111,64,737
2026-01-20 17:45:01.420436,64,172.16.0.1:,112,64,853
2026-01-20 17:45:01.682778,64,172.16.0.1:,115,64,512
2026-01-20 17:45:02.770008,64,172.16.0.1:,119,64,793
2026-01-20 17:45:03.009570,64,172.16.0.1:,120,64,828
2026-01-20 17:45:04.074266,64,172.16.0.1:,125,64,877
2026-01-20 17:45:04.363718,64,172.16.0.1:,126,64,962
2026-01-20 17:45:05.085605,64,172.16.0.1:,130,64,871
2026-01-20 17:45:05.314339,64,172.16.0.1:,131,64,901
2026-01-20 17:45:05.705460,64,172.16.0.1:,134,64,680
2026-01-20 17:45:06.193282,64,172.16.0.1:,136,64,768
2026-01-20 17:45:07.075414,64,172.16.0.1:,140,64,838
2026-01-20 17:45:07.518580,64,172.16.0.1:,142,64,869
2026-01-20 17:45:07.613505,64,172.16.0.1:,143,64,760
2026-01-20 17:45:07.894315,64,172.16.0.1:,144,64,835
2026-01-20 17:45:08.126394,64,172.16.0.1:,145,64,867
2026-01-20 17:45:08.740426,64,172.16.0.1:,148,64,875
2026-01-20 17:45:09.309436,64,172.16.0.1:,151,64,840
2026-01-20 17:45:09.552383,64,172.16.0.1:,153,64,678
2026-01-20 17:45:09.903338,64,172.16.0.1:,154,64,826
2026-01-20 17:45:11.220516,64,172.16.0.1:,160,64,931
2026-01-20 17:45:11.337447,64,172.16.0.1:,161,64,844
2026-01-20 17:45:11.587437,64,172.16.0.1:,162,64,890
2026-01-20 17:45:12.649332,64,172.16.0.1:,167,64,943
2026-01-20 17:45:12.872294,64,172.16.0.1:,168,64,962
2026-01-20 17:45:13.061406,64,172.16.0.1:,169,64,947
