time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-20 17:46:53.574308,64,172.16.0.1:,271,64,1189
2026-01-20 17:46:53.931362,64,172.16.0.1:,274,64,934
2026-01-20 17:46:54.857603,64,172.16.0.1:,277,64,1247
2026-01-20 17:46:55.977057,64,172.16.0.1:,282,64,1335
2026-01-20 17:46:57.895318,64,172.16.0.1:,291,64,1422
2026-01-20 17:46:58.470196,64,172.16.0.1:,300,64,157
2026-01-20 17:46:59.928182,64,172.16.0.1:,301,64,1415
2026-01-20 17:47:00.259255,64,172.16.0.1:,302,64,1542
2026-01-20 17:47:00.696189,64,172.16.0.1:,305,64,1359
2026-01-20 17:47:01.360205,64,172.16.0.1:,308,64,1414
2026-01-20 17:47:03.086353,64,172.16.0.1:,316,64,1509
2026-01-20 17:47:04.006194,64,172.16.0.1:,320,64,1609
2026-01-20 17:47:04.634270,64,172.16.0.1:,323,64,1617
2026-01-20 17:47:04.954314,64,172.16.0.1:,324,64,1736
2026-01-20 17:47:05.434638,64,172.16.0.1:,327,64,1601
2026-01-20 17:47:06.030160,64,172.16.0.1:,329,64,1793
2026-01-20 17:47:06.189576,64,172.16.0.1:,330,64,1745
2026-01-20 17:47:06.686168,64,172.16.0.1:,333,64,1636
2026-01-20 17:47:08.620708,64,172.16.0.1:,343,64,1547
2026-01-20 17:47:08.962175,64,172.16.0.1:,345,64,1477
2026-01-20 17:47:09.402197,64,172.16.0.1:,347,64,1505
2026-01-20 17:47:09.542234,64,172.16.0.1:,348,64,1437
2026-01-20 17:47:09.738208,64,172.16.0.1:,349,64,1425
2026-01-20 17:47:09.888304,64,172.16.0.1:,350,64,1371
2026-01-20 17:47:10.534246,64,172.16.0.1:,353,64,1408
2026-01-20 17:47:11.177230,64,172.16.0.1:,355,64,1647
2026-01-20 17:47:11.417281,64,172.16.0.1:,356,64,1686
2026-01-20 17:47:11.714224,64,172.16.0.1:,357,64,1781
2026-01-20 17:47:12.205536,64,172.16.0.1:,359,64,1868
2026-01-20 17:47:14.615590,64,172.16.0.1:,379,64,198
2026-01-20 17:47:16.117733,64,172.16.0.1:,380,64,1500
2026-01-20 17:47:17.112231,64,172.16.0.1:,383,64,1879
2026-01-20 17:47:17.349223,64,172.16.0.1:,384,64,1912
2026-01-20 17:47:19.934331,64,172.16.0.1:,395,64,2261
2026-01-20 17:47:20.141584,64,172.16.0.1:,397,64,2056
2026-01-20 17:47:20.361043,64,172.16.0.1:,399,64,1867
2026-01-20 17:47:21.524289,64,172.16.0.1:,405,64,1806
2026-01-20 17:47:21.892059,64,172.16.0.1:,407,64,1770
2026-01-20 17:47:22.332358,64,172.16.0.1:,409,64,1809
2026-01-20 17:47:23.695294,64,172.16.0.1:,424,64,105
2026-01-20 17:47:24.895104,64,172.16.0.1:,425,64,1105
2026-01-20 17:47:25.307219,64,172.16.0.1:,426,64,1314
2026-01-20 17:47:25.610483,64,172.16.0.1:,427,64,1413
2026-01-20 17:47:25.956477,64,172.16.0.1:,428,64,1554
2026-01-20 17:47:26.506136,64,172.16.0.1:,430,64,1697
2026-01-20 17:47:27.055583,64,172.16.0.1:,432,64,1842
2026-01-20 17:47:27.325252,64,172.16.0.1:,433,64,1912
2026-01-20 17:47:28.070345,64,172.16.0.1:,436,64,2049
2026-01-20 17:47:29.720213,64,172.16.0.1:,449,64,1055
2026-01-20 17:47:30.620145,64,172.16.0.1:,450,64,1747
2026-01-20 17:47:32.147216,64,172.16.0.1:,456,64,2045
2026-01-20 17:47:34.395170,64,172.16.0.1:,467,64,2049
2026-01-20 17:47:35.113105,64,172.16.0.1:,470,64,2148
2026-01-20 17:47:35.354155,64,172.16.0.1:,471,64,2185
2026-01-20 17:47:35.640943,64,172.16.0.1:,472,64,2263
2026-01-20 17:47:35.979265,64,172.16.0.1:,473,64,2398
2026-01-20 17:47:36.271199,64,172.16.0.1:,475,64,2278
2026-01-20 17:47:36.739147,64,172.16.0.1:,477,64,2334
2026-01-20 17:47:37.090187,64,172.16.0.1:,479,64,2277
2026-01-20 17:47:37.279520,64,172.16.0.1:,480,64,2262
2026-01-20 17:47:37.640071,64,172.16.0.1:,481,64,2422
2026-01-20 17:47:38.139191,64,172.16.0.1:,483,64,2517
2026-01-20 17:47:38.263127,64,172.16.0.1:,484,64,2440
2026-01-20 17:47:38.385279,64,172.16.0.1:,485,64,2361
2026-01-20 17:47:39.114960,64,172.16.0.1:,489,64,2275
2026-01-20 17:47:39.364389,64,172.16.0.1:,490,64,2322
2026-01-20 17:47:40.239157,64,172.16.0.1:,493,64,2589
2026-01-20 17:47:42.088214,64,172.16.0.1:,499,64,3215
2026-01-20 17:47:43.470142,64,172.16.0.1:,505,64,3381
2026-01-20 17:47:45.183123,64,172.16.0.1:,512,64,3662
2026-01-20 17:47:49.224712,64,172.16.0.1:,540,64,1978
2026-01-20 17:47:54.220947,64,172.16.0.1:,553,64,4319
2026-01-20 17:47:55.157890,64,172.16.0.1:,555,64,4842
2026-01-20 17:47:56.029009,64,172.16.0.1:,559,64,4892
2026-01-20 17:47:57.863653,64,172.16.0.1:,568,64,4878
2026-01-20 17:47:58.403753,64,172.16.0.1:,570,64,5002
2026-01-20 17:47:59.345249,64,172.16.0.1:,574,64,5123
2026-01-20 17:48:00.000085,64,172.16.0.1:,578,64,4966
2026-01-20 17:48:04.071736,64,172.16.0.1:,595,64,5566
2026-01-20 17:48:05.360943,64,172.16.0.1:,602,64,5423
2026-01-20 17:48:08.252109,64,172.16.0.1:,613,64,6058
2026-01-20 17:48:09.593490,64,172.16.0.1:,619,64,6176
2026-01-20 17:48:10.435457,64,172.16.0.1:,624,64,5998
2026-01-20 17:48:12.272244,64,172.16.0.1:,634,64,5799
2026-01-20 17:48:14.089536,64,172.16.0.1:,644,64,5572
2026-01-20 17:48:24.105022,64,172.16.0.1:,695,64,5160
2026-01-20 17:48:28.493330,64,172.16.0.1:,726,64,3164
2026-01-20 17:48:39.652627,64,172.16.0.1:,759,64,7569
2026-01-20 17:48:40.868088,64,172.16.0.1:,765,64,7549
2026-01-20 17:48:43.364153,64,172.16.0.1:,778,64,7363
2026-01-20 17:48:43.655380,64,172.16.0.1:,780,64,7238
2026-01-20 17:48:47.492220,64,172.16.0.1:,801,64,6782
2026-01-20 17:48:54.865989,64,172.16.0.1:,838,64,6585
2026-01-20 17:49:01.710994,64,172.16.0.1:,872,64,6462
2026-01-20 17:49:04.395156,64,172.16.0.1:,884,64,6694
2026-01-20 17:49:05.086526,64,172.16.0.1:,887,64,6773
2026-01-20 17:49:05.348069,64,172.16.0.1:,888,64,6827
