time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-29 13:43:38.818932,41.0000000000,-78.6962749000,35.7273025000,24.4520000000,0.0033757328,0.0044624489,0.0037176306,-0.0100000000,0.0100000000,-0.8200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,3.0224257046,4.1203034503
2026-01-29 13:43:40.462998,42.0000000000,-78.6962749000,35.7273025000,25.0080000000,0.0035875798,0.0047844704,0.0037382201,-0.0100000000,0.0100000000,0.0400000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,3.5866994491,2.7731057122
2026-01-29 13:43:41.747256,43.0000000000,-78.6962749000,35.7273025000,24.9530000000,0.0034342210,0.0044227079,0.0034546496,-0.0100000000,0.0100000000,-0.0400000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,4.7594578023,3.4193408957
2026-01-29 13:43:42.748821,44.0000000000,-78.6962749000,35.7273025000,24.9580000000,0.0029912738,0.0046113441,0.0035638693,-0.0100000000,0.0100000000,-0.0400000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,3.8100011237,5.0724272551
2026-01-29 13:43:43.749917,45.0000000000,-78.6962752000,35.7273025000,24.9580000000,-0.0676240698,0.0113626542,-0.1792099029,0.1000000000,-0.2700000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.8541960551,6.8285027744
2026-01-29 13:43:44.755251,46.0000000000,-78.6962912000,35.7273076000,24.9510000000,-0.1169527918,0.0195694454,-0.3078929484,1.0400000000,-2.6300000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.7847526312,6.9072732122
2026-01-29 13:43:45.761679,47.0000000000,-78.6963307000,35.7273203000,24.9590000000,-0.0773648471,0.0128142219,-0.2286381572,1.7100000000,-4.2400000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.7223904991,5.3845100399
2026-01-29 13:43:46.768295,48.0000000000,-78.6963802000,35.7273365000,24.9610000000,-0.0581067204,0.0093411794,-0.2002494484,1.8300000000,-4.5600000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.7136088272,5.4663154789
2026-01-29 13:43:47.769765,49.0000000000,-78.6964319000,35.7273532000,24.9670000000,-0.0577817895,0.0063471724,-0.2021235079,1.8500000000,-4.6900000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.7800000000,6.0023226995
2026-01-29 13:43:48.771494,50.0000000000,-78.6964846000,35.7273701000,24.9780000000,-0.0550708771,0.0074316636,-0.1930185407,1.8500000000,-4.7400000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.6626061271,6.2268173406
2026-01-29 13:43:50.747584,51.0000000000,-78.6965895000,35.7274036000,24.9950000000,-0.0544508137,0.0074030384,-0.1867191494,1.8300000000,-4.6800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.0996438737,6.3200469985
2026-01-29 13:43:51.753793,52.0000000000,-78.6966407000,35.7274199000,25.0020000000,-0.0239641722,0.0021677606,-0.1071799248,1.7500000000,-4.4700000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.9629691884,6.9953174415
2026-01-29 13:43:52.755098,53.0000000000,-78.6966848000,35.7274340000,25.0040000000,0.0135449246,0.0003928337,0.0017523657,1.3300000000,-3.4300000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.6903264654,10.6140689569
2026-01-29 13:43:53.761269,54.0000000000,-78.6967153000,35.7274437000,25.0060000000,0.0486280359,0.0021389183,0.1110590771,0.7600000000,-1.9900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.8364488347,10.2197118383
2026-01-29 13:43:54.766867,55.0000000000,-78.6967283000,35.7274477000,25.0080000000,0.0394756570,0.0016655572,0.1029169410,0.1600000000,-0.4400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.8836032492,6.9805598306
2026-01-29 13:43:55.773560,56.0000000000,-78.6967290000,35.7274479000,25.0030000000,0.0089405058,-0.0008007261,0.0246723033,-0.0400000000,0.1400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.6386785067,7.1663219894
2026-01-29 13:43:56.774866,57.0000000000,-78.6967270000,35.7274474000,25.0000000000,-0.0447178297,0.0039186887,-0.1912580580,0.0200000000,-0.1500000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.8990259263,6.6932070193
2026-01-29 13:43:57.776361,58.0000000000,-78.6967415000,35.7274499000,25.0040000000,-0.0732024536,0.0106530283,-0.3264488578,0.6100000000,-2.6300000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.0001633277,6.8420404960
2026-01-29 13:43:58.777546,59.0000000000,-78.6967864000,35.7274583000,25.0310000000,-0.0480991751,0.0028939222,-0.2437386066,1.0700000000,-4.4900000000,-0.0600000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.0992203153,8.0003802396
2026-01-29 13:43:59.782842,60.0000000000,-78.6968383000,35.7274682000,25.0440000000,-0.0350234173,0.0008025170,-0.2181256413,1.1300000000,-4.7800000000,0.0300000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.8830824338,7.8127058867
2026-01-29 13:44:00.784768,61.0000000000,-78.6968925000,35.7274785000,25.0170000000,-0.0326981544,-0.0001008883,-0.2153049111,1.1500000000,-4.9300000000,0.0200000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.6108678662,8.0346716194
2026-01-29 13:44:01.787849,62.0000000000,-78.6969479000,35.7274889000,25.0080000000,-0.0309091825,-0.0002463567,-0.2057422400,1.1400000000,-4.9400000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.4510069693,7.2797080396
2026-01-29 13:44:02.789780,63.0000000000,-78.6970026000,35.7274991000,25.0080000000,-0.0318876952,0.0002604847,-0.2054847926,1.1300000000,-4.9300000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3576535579,6.3231341575
2026-01-29 13:44:04.369137,64.0000000000,-78.6970844000,35.7275144000,25.0080000000,-0.0325733460,-0.0002658644,-0.2023046613,1.1300000000,-4.8900000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3072180324,7.1760387480
2026-01-29 13:44:05.747385,65.0000000000,-78.6971603000,35.7275286000,25.0090000000,-0.0310853124,-0.0007330637,-0.1992095858,1.1300000000,-4.8800000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3817824230,8.7808872728
2026-01-29 13:44:06.753481,66.0000000000,-78.6972139000,35.7275387000,25.0110000000,-0.0329370946,0.0008604123,-0.2071372718,1.1300000000,-4.8700000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.4548284045,12.0990990676
2026-01-29 13:44:07.759270,67.0000000000,-78.6972678000,35.7275488000,25.0110000000,-0.0327099152,0.0000553045,-0.2030599117,1.1400000000,-4.8900000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.5013383995,11.9076125736
2026-01-29 13:44:08.765494,68.0000000000,-78.6973217000,35.7275590000,25.0110000000,-0.0329732634,-0.0003218220,-0.2051671594,1.1400000000,-4.8900000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3153964624,8.5054618302
2026-01-29 13:44:09.770655,69.0000000000,-78.6973758000,35.7275692000,25.0110000000,-0.0319049731,-0.0005947735,-0.2017201781,1.1400000000,-4.8900000000,0.0100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.3639509924,8.5968297357
