time,Altitude,Bandwidth(MBits/sec),BatteryVolts,GPSFix,Interval(sec),Latency(sec),Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,num
2026-01-20 17:44:38.189001,-0.0170000000,4.8819215680,12.5870000000,6.0000000000,0.1208180000,0.0622600000,35.7273024000,-78.6962748000,10.0000000000,0.0013686190,0.0016314597,-0.0100000000,0.0100000000,0.0000000000,-0.0192270135,15.2079585785
2026-01-20 17:44:38.296467,-0.0170000000,14.6360582520,12.5870000000,6.0000000000,0.1074650000,0.1140610000,35.7273024000,-78.6962748000,10.0000000000,0.0013696450,0.0016305178,-0.0100000000,0.0100000000,0.0000000000,-0.0191477500,15.3146298767
2026-01-20 17:44:38.400568,-0.0170000000,13.8540597670,12.5870000000,6.0000000000,0.1040700000,0.1096220000,35.7273024000,-78.6962748000,10.0000000000,0.0013706388,0.0016296053,-0.0100000000,0.0100000000,0.0000000000,-0.0190709683,15.4179611933
2026-01-20 17:44:38.507765,-0.0170000000,14.0702144140,12.5870000000,6.0000000000,0.1071290000,0.1011390000,35.7273024000,-78.6962748000,10.0000000000,0.0013716622,0.0016286658,-0.0100000000,0.0100000000,0.0000000000,-0.0189919033,15.5243654251
2026-01-20 17:44:38.616022,-0.0170000000,6.6535852400,12.5870000000,6.0000000000,0.1083470000,0.1011240000,35.7273024000,-78.6962748000,10.0000000000,0.0013726957,0.0016277169,-0.0100000000,0.0100000000,0.0000000000,-0.0189120563,15.6318219137
2026-01-20 17:44:38.721359,-0.0170000000,8.7234281260,12.5870000000,6.0000000000,0.1051770000,0.1585600000,35.7273024000,-78.6962748000,10.0000000000,0.0013737013,0.0016267936,-0.0100000000,0.0100000000,0.0000000000,-0.0188343630,15.7363800586
2026-01-20 17:44:38.854336,-0.0170000000,1.4766568530,12.5870000000,6.0000000000,0.1331440000,0.2096930000,35.7273024000,-78.6962748000,10.0000000000,0.0013749708,0.0016256281,-0.0100000000,0.0100000000,0.0000000000,-0.0187362834,15.8683736216
2026-01-20 17:44:39.006046,-0.0170000000,2.5929691980,12.5870000000,6.0000000000,0.1516470000,0.3081120000,35.7273023981,-78.6962747981,10.0000000000,0.0013736746,0.0016217439,-0.0100000000,0.0100000000,0.0000000000,-0.0186252708,16.0189898705
2026-01-20 17:44:39.144961,-0.0170000000,2.8295231310,12.5870000000,6.0000000000,0.1389690000,0.4511680000,35.7273023843,-78.6962747843,10.0000000000,0.0013550430,0.0016019506,-0.0100000000,0.0100000000,0.0000000000,-0.0185292384,16.1570824498
2026-01-20 17:44:39.259491,-0.0170000000,4.5775752180,12.5870000000,6.0000000000,0.1145340000,0.5549770000,35.7273023729,-78.6962747729,10.0000000000,0.0013396819,0.0015856318,-0.0100000000,0.0100000000,0.0000000000,-0.0184500634,16.2709343848
2026-01-20 17:44:39.364605,-0.0170000000,3.7409595570,12.5870000000,6.0000000000,0.1051110000,0.6262780000,35.7273023625,-78.6962747625,10.0000000000,0.0013255838,0.0015706547,-0.0100000000,0.0100000000,0.0000000000,-0.0183773979,16.3754258794
2026-01-20 17:44:39.557289,-0.0170000000,2.3838702970,12.5870000000,6.0000000000,0.1924400000,0.7119470000,35.7273023433,-78.6962747433,10.0000000000,0.0012997405,0.0015432001,-0.0100000000,0.0100000000,0.0000000000,-0.0182441949,16.5669690618
2026-01-20 17:44:40.048808,-0.0170000000,0.6664917450,12.5870000000,6.0000000000,0.4916490000,0.8330130000,35.7273023000,-78.6962747000,10.0000000000,0.0012314419,0.0014715380,-0.0100000000,0.0100000000,0.0000000000,-0.0179071680,17.0555193438
2026-01-20 17:44:40.168849,-0.0170000000,0.5464293160,12.5870000000,6.0000000000,0.1199350000,0.9682680000,35.7273023000,-78.6962747000,10.0000000000,0.0012102428,0.0014509384,-0.0100000000,0.0100000000,0.0000000000,-0.0178301129,17.1747239718
2026-01-20 17:44:40.388610,-0.0170000000,0.5958874530,12.5870000000,6.0000000000,0.2199610000,1.0209650000,35.7273023000,-78.6962747000,10.0000000000,0.0011714333,0.0014132264,-0.0100000000,0.0100000000,0.0000000000,-0.0176890467,17.3929540356
2026-01-20 17:44:40.508589,-0.0170000000,0.5461242310,12.5870000000,6.0000000000,0.1200020000,1.0582530000,35.7273023000,-78.6962747000,10.0000000000,0.0011502451,0.0013926374,-0.0100000000,0.0100000000,0.0000000000,-0.0176120313,17.5120971432
2026-01-20 17:44:40.903570,-0.0170000000,0.4977707560,12.5870000000,6.0000000000,0.3949770000,1.0269000000,35.7273023000,-78.6962747000,10.0000000000,0.0010804919,0.0013248569,-0.0100000000,0.0100000000,0.0000000000,-0.0173584904,17.9043261536
2026-01-20 17:44:41.019505,-0.0170000000,0.0325075660,12.5870000000,6.0000000000,2.0160230000,1.1247370000,35.7273023000,-78.6962747000,10.0000000000,0.0010612324,0.0013059790,-0.0100000000,0.0100000000,0.0000000000,-0.0172853739,18.0194570941
2026-01-20 17:44:41.158989,-0.0170000000,0.4707978330,12.5870000000,6.0000000000,0.1392020000,2.1648490000,35.7273023000,-78.6962747000,10.0000000000,0.0010452472,0.0012892853,-0.0100000000,0.0100000000,0.0000000000,-0.0172051154,18.1579957334
2026-01-20 17:44:41.291421,-0.0170000000,0.1689760260,12.5870000000,6.0000000000,0.3878420000,0.8901780000,35.7273023000,-78.6962747000,10.0000000000,0.0010300702,0.0012734356,-0.0100000000,0.0100000000,0.0000000000,-0.0171289148,18.2895298901
2026-01-20 17:44:41.492948,-0.0170000000,0.9758576870,12.5870000000,6.0000000000,0.2014720000,0.8410900000,35.7273023000,-78.6962747000,10.0000000000,0.0010069748,0.0012493165,-0.0100000000,0.0100000000,0.0000000000,-0.0170129572,18.4896908396
2026-01-20 17:44:41.626321,-0.0170000000,0.1402001510,12.5870000000,6.0000000000,0.4674460000,2.4556720000,35.7273023000,-78.6962747000,10.0000000000,0.0009916899,0.0012333542,-0.0100000000,0.0100000000,0.0000000000,-0.0169362152,18.6221596731
2026-01-20 17:44:41.899257,-0.0170000000,0.3226284450,12.5870000000,6.0000000000,0.4062630000,0.8643550000,35.7273023000,-78.6962747000,10.0000000000,0.0009604108,0.0012006887,-0.0100000000,0.0100000000,0.0000000000,-0.0167791691,18.8932457137
