time,Altitude,BatteryVolts,GPSFix,Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,destination,icmp_seq,num,pingtime,size(byte),ttl
2026-01-20 17:46:31.410794,24.9998597385,12.5870000000,6.0000000000,35.7280693834,-78.7000079539,10.0000000000,0.0312816485,0.1094889848,0.2881830384,-1.3637713763,0.0000000000,-0.0169484074,172.16.0.1:,162.0000000000,120.8597385165,1320.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:32.493690,25.0016141880,12.5870000000,6.0000000000,35.7280714457,-78.7000188898,10.0000000000,0.0178812935,0.0659772508,0.0124393170,-0.1509769265,0.0000000000,-0.0184089826,172.16.0.1:,167.0000000000,121.8070940136,1398.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:33.294757,25.0007924584,12.5870000000,6.0000000000,35.7280714792,-78.7000185528,10.0000000000,0.0065689445,0.0214907039,-0.0481131240,0.1486787437,0.0000000000,-0.0188574775,172.16.0.1:,171.0000000000,122.6037707984,1385.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:34.375677,24.9972928694,12.5870000000,6.0000000000,35.7280715354,-78.7000187475,10.0000000000,-0.0499006343,-0.1982308240,0.1565704449,-0.7004243906,0.0000000000,-0.0113695617,172.16.0.1:,176.0000000000,123.6767826402,1446.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:34.523797,24.9967054014,12.5870000000,6.0000000000,35.7280715647,-78.7000189531,10.0000000000,-0.0611413816,-0.2418360489,0.2035678847,-0.9001635099,0.0000000000,-0.0097398544,172.16.0.1:,177.0000000000,123.8236496396,1391.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:34.997909,24.9965897446,12.5870000000,6.0000000000,35.7280730744,-78.7000268077,10.0000000000,-0.0781014220,-0.3115051986,0.4398720938,-1.8594883751,0.0000000000,-0.0065353296,172.16.0.1:,179.0000000000,124.2948722849,1465.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:35.165771,24.9969238994,12.5870000000,6.0000000000,35.7280739097,-78.7000311183,10.0000000000,-0.0800634359,-0.3213133389,0.5417893137,-2.2671572550,0.0000000000,-0.0058283961,172.16.0.1:,180.0000000000,124.4619496947,1424.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:35.416755,24.9974235210,12.5870000000,6.0000000000,35.7280751588,-78.7000375634,10.0000000000,-0.0829970000,-0.3359782744,0.6941739069,-2.8766956276,0.0000000000,-0.0047714032,172.16.0.1:,182.0000000000,124.7117605031,1263.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:35.629931,24.9978478803,12.5870000000,6.0000000000,35.7280762197,-78.7000430377,10.0000000000,-0.0854886561,-0.3484341044,0.8236034963,-3.3944139852,0.0000000000,-0.0038736343,172.16.0.1:,183.0000000000,124.9239401579,1268.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:35.975653,24.9988056778,12.5870000000,6.0000000000,35.7280790976,-78.7000575686,10.0000000000,-0.0754274482,-0.3177004218,0.9398254116,-3.8431880898,0.0000000000,-0.0068479123,172.16.0.1:,184.0000000000,125.2685592753,1414.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:36.580778,25.0006160249,12.5870000000,6.0000000000,35.7280847097,-78.7000858100,10.0000000000,-0.0508130842,-0.2386093946,1.0967221601,-4.4345681420,0.0000000000,-0.0142542051,172.16.0.1:,188.0000000000,125.8720083082,1203.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:37.066127,24.9985079139,12.5870000000,6.0000000000,35.7280899941,-78.7001123419,10.0000000000,-0.0435760960,-0.2202690240,1.1478006152,-4.6561233221,0.0000000000,-0.0161578196,172.16.0.1:,191.0000000000,126.3560123040,1080.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:37.311294,24.9967965035,12.5870000000,6.0000000000,35.7280928057,-78.7001264488,10.0000000000,-0.0421914429,-0.2191941802,1.1600249751,-4.7221348653,0.0000000000,-0.0163863235,172.16.0.1:,192.0000000000,126.6004995010,1117.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:37.657827,24.9943774963,12.5870000000,6.0000000000,35.7280967798,-78.7001463884,10.0000000000,-0.0402342935,-0.2176749333,1.1773035981,-4.8154394299,0.0000000000,-0.0167093042,172.16.0.1:,194.0000000000,126.9460719628,1056.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:38.020169,24.9936942991,12.5870000000,6.0000000000,35.7281007321,-78.7001662830,10.0000000000,-0.0389492779,-0.2147980208,1.1800000000,-4.8575130845,0.0000000000,-0.0169592208,172.16.0.1:,196.0000000000,127.3057009393,1007.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:39.117789,24.9937929303,12.5870000000,6.0000000000,35.7281125025,-78.7002260074,10.0000000000,-0.0259008488,-0.1667614703,1.1443181355,-4.7931311483,0.0000000000,-0.0192305266,172.16.0.1:,201.0000000000,128.3964651616,1088.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:39.305821,24.9941680154,12.5870000000,6.0000000000,35.7281144905,-78.7002362284,10.0000000000,-0.0207808885,-0.1468745149,1.1274393078,-4.7331175390,0.0000000000,-0.0200905900,172.16.0.1:,202.0000000000,128.5840076906,1073.0000000000,64.0000000000,64.0000000000
