time,Altitude,Bandwidth(MBits/sec),BatteryVolts,GPSFix,Interval(sec),Latency(sec),Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,num
2026-01-20 17:45:21.140047,25.0016106866,0.1559890700,12.5870000000,6.0000000000,0.4201320000,3.5023600000,35.7274514988,-78.6967486161,10.0000000000,-0.0640627681,-0.3013955751,0.6502071648,-2.8481241817,0.0000000000,0.0063784776,56.3729552251
2026-01-20 17:45:21.314950,25.0028286060,0.7494625130,12.5870000000,6.0000000000,0.1748880000,3.7940940000,35.7274526645,-78.6967546883,10.0000000000,-0.0623102147,-0.2997495970,0.7389412946,-3.2204595499,0.0000000000,0.0057920645,56.5469437149
2026-01-20 17:45:41.899879,25.0000000000,0.0031836890,12.5870000000,6.0000000000,20.5849270000,2.1522150000,35.7276418688,-78.6977621720,10.0000000000,0.0180937649,0.0683477092,0.1234424505,-0.5814055499,0.0000000000,-0.0079283213,75.5698882881
2026-01-20 17:45:42.043390,25.0000000000,0.9140051880,12.5870000000,6.0000000000,0.1434040000,0.4903860000,35.7276419926,-78.6977628202,10.0000000000,0.0158249105,0.0598679663,0.0957685456,-0.4474055894,0.0000000000,-0.0081213934,75.6427143536
2026-01-20 17:45:42.181013,25.0000000000,1.4274782000,12.5870000000,6.0000000000,0.1377310000,0.6267330000,35.7276421113,-78.6977634417,10.0000000000,0.0136491431,0.0517361320,0.0692300513,-0.3189034064,0.0000000000,-0.0083065440,75.7125524965
2026-01-20 17:45:42.311947,25.0000000000,1.5015580130,12.5870000000,6.0000000000,0.1309360000,0.7438400000,35.7276422243,-78.6977640331,10.0000000000,0.0115791267,0.0439995369,0.0439814328,-0.1966469377,0.0000000000,-0.0084826956,75.7789962295
2026-01-20 17:45:42.447791,25.0000000000,1.4484587730,12.5870000000,6.0000000000,0.1357360000,0.8609170000,35.7276423415,-78.6977646466,10.0000000000,0.0094314837,0.0359728164,0.0177859806,-0.0698058006,0.0000000000,-0.0086654529,75.8479316301
2026-01-20 17:45:42.560008,25.0000000000,1.1672217570,12.5870000000,6.0000000000,0.1122940000,0.9727410000,35.7276424383,-78.6977651534,10.0000000000,0.0076573787,0.0293421774,-0.0038533159,0.0349739505,0.0000000000,-0.0088164234,75.9048771470
2026-01-20 17:45:42.815921,24.9997949010,0.5121020200,12.5870000000,6.0000000000,0.2559490000,1.1156580000,35.7276425932,-78.6977659248,10.0000000000,0.0002954810,-0.0006831819,-0.0283777261,0.1573579358,0.0000000000,-0.0084733607,76.0683663171
2026-01-20 17:45:43.926923,24.9973539382,0.0589883520,12.5870000000,6.0000000000,1.1109990000,1.7887890000,35.7276431548,-78.6977683332,10.0000000000,-0.0625171738,-0.2730472009,0.2326420741,-1.0024227334,0.0000000000,0.0004268613,77.1769690934
2026-01-20 17:45:44.338408,24.9981719623,0.3185364120,12.5870000000,6.0000000000,0.4114820000,2.4745630000,35.7276446681,-78.6977762680,10.0000000000,-0.0691625468,-0.3057246302,0.4698690694,-2.0249528852,0.0000000000,0.0022498147,77.5859811541
2026-01-20 17:45:44.454918,24.9984035819,0.5624538700,12.5870000000,6.0000000000,0.1165180000,2.7614650000,35.7276450966,-78.6977785147,10.0000000000,-0.0710441518,-0.3149770851,0.5370387369,-2.3144773144,0.0000000000,0.0027659750,77.7017909257
2026-01-20 17:45:44.626508,24.9987446998,0.7653794720,12.5870000000,6.0000000000,0.1712510000,2.8973210000,35.7276457277,-78.6977818236,10.0000000000,-0.0738152874,-0.3286036469,0.6359629295,-2.7408746963,0.0000000000,0.0035261507,77.8723498785
2026-01-20 17:45:44.819965,24.9993247924,0.6763575190,12.5870000000,6.0000000000,0.1937910000,3.0597980000,35.7276467457,-78.6977871322,10.0000000000,-0.0737796640,-0.3321797264,0.7327354679,-3.1548393803,0.0000000000,0.0034328837,78.0649584796
2026-01-20 17:45:48.254042,24.9949721441,0.0381679880,12.5870000000,6.0000000000,3.4340820000,2.2285180000,35.7276799065,-78.6979615798,10.0000000000,-0.0330634388,-0.2079848842,1.1100000000,-4.9148607203,0.0000000000,-0.0083868762,81.4860720345
2026-01-20 17:45:48.416565,24.9952953460,1.2096720610,12.5870000000,6.0000000000,0.1625300000,0.3346850000,35.7276815710,-78.6979705163,10.0000000000,-0.0328276446,-0.2066982506,1.1100000000,-4.9164767299,0.0000000000,-0.0082704948,81.6476729875
2026-01-20 17:45:48.564005,24.9955885535,0.8924415640,12.5870000000,6.0000000000,0.1468690000,0.4747620000,35.7276830811,-78.6979786235,10.0000000000,-0.0326137329,-0.2055310216,1.1100000000,-4.9179427675,0.0000000000,-0.0081649141,81.7942767469
2026-01-20 17:45:48.702058,24.9958630930,0.9455694470,12.5870000000,6.0000000000,0.1386170000,0.6013390000,35.7276844949,-78.6979862145,10.0000000000,-0.0324134407,-0.2044381080,1.1100000000,-4.9193154649,0.0000000000,-0.0080660554,81.9315464925
2026-01-20 17:45:49.375810,24.9972083878,0.0972703570,12.5870000000,6.0000000000,0.6737510000,0.4288030000,35.7276913628,-78.6980231702,10.0000000000,-0.0325059146,-0.2020493138,1.1100000000,-4.9018741829,0.0000000000,-0.0080409877,82.6041939038
2026-01-20 17:45:49.544809,24.9975459866,1.1634642130,12.5870000000,6.0000000000,0.1689850000,0.2534150000,35.7276930845,-78.6980324373,10.0000000000,-0.0325596548,-0.2015341991,1.1100000000,-4.8968102009,0.0000000000,-0.0080477573,82.7729933030
2026-01-20 17:45:49.657094,24.9977702913,1.1699201140,12.5870000000,6.0000000000,0.1120350000,0.3776770000,35.7276942285,-78.6980385945,10.0000000000,-0.0325953604,-0.2011919506,1.1100000000,-4.8934456298,0.0000000000,-0.0080522552,82.8851456723
2026-01-20 17:45:50.067750,24.9980000000,0.3189666290,12.5870000000,6.0000000000,0.4109270000,0.5748290000,35.7276984391,-78.6980609805,10.0000000000,-0.0325849008,-0.2008968457,1.1070494575,-4.8811483726,0.0000000000,-0.0082895195,83.2950542466
2026-01-20 17:45:50.187684,24.9980000000,1.0929497600,12.5870000000,6.0000000000,0.1199250000,0.8651030000,35.7276996718,-78.6980675033,10.0000000000,-0.0325658253,-0.2009193137,1.1058525967,-4.8775577900,0.0000000000,-0.0083838951,83.4147403348
2026-01-20 17:45:50.317845,24.9980000000,1.0072156950,12.5870000000,6.0000000000,0.1301330000,0.9815910000,35.7277010097,-78.6980745824,10.0000000000,-0.0325451233,-0.2009436976,1.1045536805,-4.8736610414,0.0000000000,-0.0084863181,83.5446319540
2026-01-20 17:45:50.642054,24.9980000000,0.6065658230,12.5870000000,6.0000000000,0.3241330000,1.1440880000,35.7277043422,-78.6980922153,10.0000000000,-0.0324935581,-0.2010044337,1.1013182987,-4.8639548962,0.0000000000,-0.0087414366,83.8681701269
2026-01-20 17:45:50.919687,24.9981446269,0.4719318780,12.5870000000,6.0000000000,0.2777350000,1.4461280000,35.7277071607,-78.6981071809,10.0000000000,-0.0325283381,-0.2015182792,1.1000000000,-4.8614462694,0.0000000000,-0.0087190990,84.1446269396
2026-01-20 17:45:51.043781,24.9982679512,1.0574330590,12.5870000000,6.0000000000,0.1239530000,1.6608840000,35.7277084063,-78.6981138158,10.0000000000,-0.0325759113,-0.2019353359,1.1000000000,-4.8626795123,0.0000000000,-0.0086114115,84.2679512252
2026-01-20 17:45:51.148785,24.9983723035,0.6232679340,12.5870000000,6.0000000000,0.1051490000,1.7635610000,35.7277094603,-78.6981194299,10.0000000000,-0.0326161660,-0.2022882333,1.1000000000,-4.8637230352,0.0000000000,-0.0085202906,84.3723035223
2026-01-20 17:45:51.255570,24.9984784260,1.2300531170,12.5870000000,6.0000000000,0.1065580000,1.8576480000,35.7277105321,-78.6981251393,10.0000000000,-0.0326571036,-0.2026471172,1.1000000000,-4.8647842602,0.0000000000,-0.0084276238,84.4784260159
2026-01-20 17:45:51.396644,24.9986186249,1.3913338850,12.5870000000,6.0000000000,0.1413090000,1.9709430000,35.7277119481,-78.6981326820,10.0000000000,-0.0327111864,-0.2031212403,1.1000000000,-4.8661862492,0.0000000000,-0.0083052014,84.6186249201
2026-01-20 17:45:51.502203,24.9987235288,1.2419765950,12.5870000000,6.0000000000,0.1055350000,2.0752450000,35.7277130076,-78.6981383258,10.0000000000,-0.0327516538,-0.2034760030,1.1000000000,-4.8672352878,0.0000000000,-0.0082135988,84.7235287817
2026-01-20 17:45:51.616715,24.9988373304,1.1448836090,12.5870000000,6.0000000000,0.1144850000,2.1804150000,35.7277141570,-78.6981444484,10.0000000000,-0.0327955537,-0.2038608561,1.1000000000,-4.8683733044,0.0000000000,-0.0081142266,84.8373304378
2026-01-20 17:45:51.910621,24.9992587980,0.6688552700,12.5870000000,6.0000000000,0.2939470000,2.3364740000,35.7277171069,-78.6981602134,10.0000000000,-0.0328731484,-0.2040926676,1.1000000000,-4.8687060099,0.0000000000,-0.0079894166,85.1293990066
2026-01-20 17:46:17.330853,25.0005518570,0.0051562080,12.5870000000,6.0000000000,25.4202300000,2.2724390000,35.7279327393,-78.6992954555,10.0000000000,-0.0352478051,-0.2024249369,1.1300000000,-4.8600000000,0.0000000000,-0.0130610591,108.5518569571
2026-01-20 17:46:23.119753,25.0006921419,0.0113209760,12.5870000000,6.0000000000,5.7889000000,1.6267970000,35.7279933017,-78.6996108859,10.0000000000,-0.0354762871,-0.2021697671,1.1300000000,-4.8500000000,0.0000000000,-0.0132130780,114.3078581361
2026-01-20 17:46:24.029919,25.0002135417,0.0720049220,12.5870000000,6.0000000000,0.9101600000,1.4038600000,35.7280026995,-78.6996598885,10.0000000000,-0.0342705903,-0.1998169365,1.1300000000,-4.8478645827,0.0000000000,-0.0127311937,115.2135417330
2026-01-20 17:46:24.232780,25.0004153536,0.3230602390,12.5870000000,6.0000000000,0.2028600000,1.2753510000,35.7280047781,-78.6996707460,10.0000000000,-0.0346117442,-0.2000924861,1.1300000000,-4.8458464640,0.0000000000,-0.0125109783,115.4153535998
2026-01-20 17:46:25.718931,25.0010000000,0.0440986970,12.5870000000,6.0000000000,1.4861210000,1.4673420000,35.7280201172,-78.6997506674,10.0000000000,-0.0337426499,-0.1974905179,1.1210411421,-4.8310411421,0.0000000000,-0.0134067427,116.8958857903
2026-01-20 17:46:43.509195,24.9994532876,0.0036838060,12.5870000000,6.0000000000,17.7902940000,1.3130680000,35.7281355773,-78.7003451453,10.0000000000,0.0118439694,0.0399288370,-0.0396020581,0.0812109763,0.0000000000,-0.0237036193,132.7733562007
2026-01-20 17:46:45.366810,24.9972415593,0.0352795130,12.5870000000,6.0000000000,1.8576220000,0.8770250000,35.7281451359,-78.7003377683,10.0000000000,-0.2801891672,0.0852069412,1.9995335219,0.7172989734,0.0000000000,-0.0362042964,134.6207796459
2026-01-20 17:46:45.514307,24.9975353504,1.3329988540,12.5870000000,6.0000000000,0.1474930000,0.7690140000,35.7281473687,-78.7003366960,10.0000000000,-0.2973506259,0.0915718328,2.3638345518,0.8113121424,0.0000000000,-0.0376643000,134.7676752225
2026-01-20 17:46:45.625200,24.9977562323,1.1842856630,12.5870000000,6.0000000000,0.1106760000,0.7022930000,35.7281490474,-78.7003358898,10.0000000000,-0.3102531739,0.0963571672,2.6377280239,0.8819943288,0.0000000000,-0.0387619786,134.8781161387
2026-01-20 17:46:47.474752,24.9986572026,0.0354293650,12.5870000000,6.0000000000,1.8497650000,0.8138930000,35.7282155205,-78.7003101811,10.0000000000,-0.2196819432,0.0567937598,4.6443778682,1.4234279745,0.0000000000,-0.0308106459,136.7237995749
2026-01-20 17:46:47.604150,24.9978818379,1.5191821790,12.5870000000,6.0000000000,0.1294170000,0.9187530000,35.7282208447,-78.7003081781,10.0000000000,-0.2179548202,0.0557538295,4.6844383759,1.4311816211,0.0000000000,-0.0306273588,136.8530270189
2026-01-20 17:46:47.727157,24.9971447689,0.5333116330,12.5870000000,6.0000000000,0.1228850000,0.8947300000,35.7282259059,-78.7003062740,10.0000000000,-0.2163130009,0.0547652620,4.7225202728,1.4385523109,0.0000000000,-0.0304531243,136.9758718476
2026-01-20 17:46:49.455961,24.9937015871,0.0379057230,12.5870000000,6.0000000000,1.7289210000,0.8881320000,35.7283014295,-78.7002786746,10.0000000000,-0.1372935373,0.0292612461,4.6805714949,1.3968571650,0.0000000000,-0.0274841391,138.7015870559
2026-01-20 17:46:49.568006,24.9938133981,0.5849391730,12.5870000000,6.0000000000,0.1120390000,0.9110140000,35.7283063268,-78.7002768856,10.0000000000,-0.1261723511,0.0257009290,4.6503825243,1.3867941748,0.0000000000,-0.0270429153,138.8133980582
2026-01-20 17:46:49.732091,24.9939771407,1.9996216540,12.5870000000,6.0000000000,0.1638710000,0.8818010000,35.7283134988,-78.7002742657,10.0000000000,-0.1098858324,0.0204869914,4.6061720210,1.3720573403,0.0000000000,-0.0263967612,138.9771406631
2026-01-20 17:46:50.117746,24.9929145980,0.1699466060,12.5870000000,6.0000000000,0.3856270000,0.4155280000,35.7283278866,-78.7002690881,10.0000000000,-0.0649748643,0.0081422285,4.1730752102,1.2361337523,0.0000000000,-0.0261164666,139.3618006693
2026-01-20 17:46:50.299239,24.9923715408,2.1657991710,12.5870000000,6.0000000000,0.1815570000,0.0770550000,35.7283345843,-78.7002666805,10.0000000000,-0.0436422306,0.0023299815,3.9594727149,1.1691566987,0.0000000000,-0.0260213602,139.5428197331
2026-01-20 17:46:50.415449,24.9920238206,3.3780572670,12.5870000000,6.0000000000,0.1164030000,0.1998410000,35.7283388729,-78.7002651389,10.0000000000,-0.0299829201,-0.0013916071,3.8227027862,1.1262712126,0.0000000000,-0.0259604634,139.6587264524
2026-01-20 17:46:50.524715,24.9916968789,2.4015977430,12.5870000000,6.0000000000,0.1091540000,0.2934920000,35.7283429052,-78.7002636895,10.0000000000,-0.0171398355,-0.0048908084,3.6941056822,1.0859483919,0.0000000000,-0.0259032056,139.7677070490
2026-01-20 17:46:50.704799,24.9911580377,1.8184946140,12.5870000000,6.0000000000,0.1801930000,0.4050580000,35.7283495509,-78.7002613006,10.0000000000,0.0040271819,-0.0106579320,3.4821614936,1.0194913158,0.0000000000,-0.0258088376,139.9473207681
2026-01-20 17:46:50.887579,24.9912595202,0.7176050630,12.5870000000,6.0000000000,0.1826520000,0.5617650000,35.7283546661,-78.7002594581,10.0000000000,0.0244124679,-0.0160022401,3.2175742667,0.9403103607,0.0000000000,-0.0262449103,140.1297600854
2026-01-20 17:46:51.003877,24.9914917539,3.3870192510,12.5870000000,6.0000000000,0.1160950000,0.6805330000,35.7283574994,-78.7002584363,10.0000000000,0.0370990282,-0.0192710302,3.0364319306,0.8868965949,0.0000000000,-0.0266599009,140.2458769676
2026-01-20 17:46:51.109323,24.9917023168,1.8588609030,12.5870000000,6.0000000000,0.1057680000,0.8123580000,35.7283600683,-78.7002575098,10.0000000000,0.0486017441,-0.0222347937,2.8721928631,0.8384671263,0.0000000000,-0.0270361666,140.3511584211
