time,Interval(sec),Latency(sec),Bandwidth(MBits/sec)
2026-01-28 16:56:07.501202,0.106862,0.040683,15.945200352
2026-01-28 16:56:07.605262,0.104096,0.087855,15.109744851
2026-01-28 16:56:07.709109,0.103849,0.141552,12.621402228000001
2026-01-28 16:56:08.310172,0.601063,0.181656,2.616803896
2026-01-28 16:56:39.425880,31.115684,0.125021,0.0021062050000000003
2026-01-28 16:56:39.544907,0.119042,0.070723,6.055812234
2026-01-28 16:56:39.661564,0.116271,0.182579,3.945541021
2026-01-28 16:56:39.898372,0.237187,0.295335,1.3815259690000001
2026-01-28 16:56:40.002791,0.104432,0.475566,5.020376896
2026-01-28 16:56:40.129073,0.126107,0.583687,3.118113983
2026-01-28 16:56:40.247069,0.118038,0.695651,3.3312662019999997
2026-01-28 16:56:40.352877,0.105938,0.793784,4.330381922
2026-01-28 16:56:42.421092,2.067993,0.893967,0.063381259
2026-01-28 16:56:43.885761,1.464894,0.993161,0.044737708
2026-01-28 16:56:45.026849,1.141073,0.891325,0.11486732200000001
2026-01-28 16:57:14.539589,29.512759,0.801580,0.004441198
2026-01-28 16:57:14.652554,0.112938,1.075475,2.321131949
2026-01-28 16:57:14.849459,0.196759,1.186936,1.665387606
2026-01-28 16:57:14.973554,0.124258,1.352915,1.582256273
2026-01-28 16:57:15.083707,0.110149,1.493352,1.1899517929999999
2026-01-28 16:57:15.191984,0.108058,1.583468,3.032445539
2026-01-28 16:57:15.307974,0.115897,1.678464,2.8273380670000003
2026-01-28 16:57:15.426889,0.119106,1.784179,2.200930264
2026-01-28 16:57:15.571174,0.144412,1.897427,2.269063513
2026-01-28 16:57:19.514624,3.943439,1.943170,0.033237994
2026-01-28 16:57:48.535536,29.020467,1.048650,0.0022582680000000003
2026-01-28 16:57:48.702943,0.167856,0.343028,0.390429892
2026-01-28 16:57:48.935909,0.232975,0.534692,0.281300569
2026-01-28 16:57:49.069097,0.133174,0.711576,1.4763242069999998
2026-01-28 16:57:49.367528,0.298437,0.877455,0.658792308
2026-01-28 16:57:49.499981,0.132441,1.122762,0.494831661
2026-01-28 16:57:49.634975,0.135011,1.258068,0.9708245990000001
2026-01-28 16:57:49.907868,0.272893,1.421477,0.480305468
2026-01-28 16:57:50.187017,0.279143,1.716455,0.234775724
2026-01-28 16:57:50.390094,0.203051,1.929414,0.968269056
2026-01-28 16:57:50.500961,0.110891,2.095497,1.181989521
2026-01-28 16:57:50.609428,0.108466,2.203005,1.20841554
2026-01-28 16:57:50.815361,0.205937,2.341735,0.9546997380000001
2026-01-28 16:57:50.924570,0.109217,2.502325,1.200106211
2026-01-28 16:58:50.418746,59.494172,1.614418,0.001101553
2026-01-28 16:58:50.686747,0.267995,0.802999,0.244541876
2026-01-28 16:58:50.945730,0.258991,1.060239,0.253043542
2026-01-28 16:58:51.275816,0.330077,1.348525,0.19854761199999998
2026-01-28 16:58:52.161758,0.885949,1.824492,0.147945311
2026-01-28 16:58:52.360443,0.198678,2.470095,0.32986037700000004
2026-01-28 16:58:52.561725,0.201279,2.665073,0.325597802
2026-01-28 16:58:52.903244,0.341019,2.906553,0.38435395099999997
2026-01-28 16:58:53.099698,0.196958,3.192730,0.33274099
2026-01-28 16:59:43.247305,50.147586,2.672026,0.002613725
2026-01-28 16:59:45.259261,2.011625,1.539968,0.032578637
2026-01-28 16:59:49.860728,4.601809,1.562442,0.014241356
2026-01-28 16:59:51.371279,1.510498,1.376630,0.043387015
2026-01-28 16:59:57.714661,6.343458,1.297651,0.020662547
2026-01-28 17:00:02.913751,5.199080,1.200821,0.012605307
2026-01-28 17:00:16.169271,13.255453,0.994058,0.004944078
2026-01-28 17:00:20.403605,4.234411,0.392919,0.015477005
2026-01-28 17:00:20.542003,0.138376,0.055572,3.7888651209999997
2026-01-28 17:00:20.663637,0.121643,0.207634,2.69378427
2026-01-28 17:00:20.828581,0.164943,0.316524,1.589300546
2026-01-28 17:00:20.933495,0.104796,0.437803,6.253673804
2026-01-28 17:00:21.046973,0.113432,0.538966,2.88877918
2026-01-28 17:00:21.168666,0.121866,0.635637,3.764396961
2026-01-28 17:00:21.285051,0.116267,0.743363,2.8183405440000002
2026-01-28 17:00:46.968617,25.683683,0.845122,0.012758295000000001
