[2026-01-19 14:42:32.098275] Connecting to host 172.16.0.1, port 5201
[2026-01-19 14:42:32.198772] [  5] local 172.16.0.100 port 54634 connected to 172.16.0.1 port 5201
[2026-01-19 14:42:33.238329] [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[2026-01-19 14:42:33.238393] [  5]   0.00-1.00   sec  3.39 MBytes  28.4 Mbits/sec    0    180 KBytes       
[2026-01-19 14:42:34.238319] [  5]   1.00-2.00   sec  3.04 MBytes  25.5 Mbits/sec    0    313 KBytes       
[2026-01-19 14:42:35.238442] [  5]   2.00-3.00   sec  3.11 MBytes  26.1 Mbits/sec   15    284 KBytes       
[2026-01-19 14:42:36.238344] [  5]   3.00-4.00   sec  2.42 MBytes  20.3 Mbits/sec    0    332 KBytes       
[2026-01-19 14:42:37.238466] [  5]   4.00-5.00   sec  2.42 MBytes  20.3 Mbits/sec    0    369 KBytes       
[2026-01-19 14:42:38.238221] [  5]   5.00-6.00   sec  2.42 MBytes  20.3 Mbits/sec    2    320 KBytes       
[2026-01-19 14:42:39.238562] [  5]   6.00-7.00   sec  2.73 MBytes  22.9 Mbits/sec    0    298 KBytes       
[2026-01-19 14:42:40.238565] [  5]   7.00-8.00   sec  2.42 MBytes  20.3 Mbits/sec    0    318 KBytes       
[2026-01-19 14:42:41.238361] [  5]   8.00-9.00   sec  3.23 MBytes  27.1 Mbits/sec    0    328 KBytes       
[2026-01-19 14:42:42.238394] [  5]   9.00-10.00  sec  2.42 MBytes  20.3 Mbits/sec    0    331 KBytes       
[2026-01-19 14:42:43.238480] [  5]  10.00-11.00  sec  2.42 MBytes  20.3 Mbits/sec    0    331 KBytes       
[2026-01-19 14:42:44.239264] [  5]  11.00-12.00  sec   827 KBytes  6.77 Mbits/sec    4   1.41 KBytes       
[2026-01-19 14:42:45.238385] [  5]  12.00-13.00  sec  1.62 MBytes  13.6 Mbits/sec   93    259 KBytes       
[2026-01-19 14:42:46.238494] [  5]  13.00-14.00  sec  2.42 MBytes  20.3 Mbits/sec    0    296 KBytes       
[2026-01-19 14:42:47.238397] [  5]  14.00-15.00  sec  3.23 MBytes  27.1 Mbits/sec    0    320 KBytes       
[2026-01-19 14:42:48.238382] [  5]  15.00-16.00  sec  2.42 MBytes  20.3 Mbits/sec    0    332 KBytes       
[2026-01-19 14:42:49.238194] [  5]  16.00-17.00  sec  2.42 MBytes  20.3 Mbits/sec    0    337 KBytes       
[2026-01-19 14:42:50.238568] [  5]  17.00-18.00  sec  2.42 MBytes  20.3 Mbits/sec    0    337 KBytes       
[2026-01-19 14:42:51.238497] [  5]  18.00-19.00  sec  2.42 MBytes  20.3 Mbits/sec    0    337 KBytes       
[2026-01-19 14:42:52.238307] [  5]  19.00-20.00  sec  3.23 MBytes  27.1 Mbits/sec    0    339 KBytes       
[2026-01-19 14:42:53.238360] [  5]  20.00-21.00  sec  2.42 MBytes  20.3 Mbits/sec    0    349 KBytes       
[2026-01-19 14:42:54.238373] [  5]  21.00-22.00  sec  2.42 MBytes  20.3 Mbits/sec    0    368 KBytes       
[2026-01-19 14:42:55.238496] [  5]  22.00-23.00  sec  2.42 MBytes  20.3 Mbits/sec    4    273 KBytes       
[2026-01-19 14:42:56.238481] [  5]  23.00-24.00  sec  2.42 MBytes  20.3 Mbits/sec    0    317 KBytes       
[2026-01-19 14:42:57.238323] [  5]  24.00-25.00  sec  2.42 MBytes  20.3 Mbits/sec    0    354 KBytes       
[2026-01-19 14:42:58.238346] [  5]  25.00-26.00  sec  3.23 MBytes  27.1 Mbits/sec    0    376 KBytes       
[2026-01-19 14:42:59.238576] [  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 14:43:00.239437] [  5]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 14:43:01.239424] [  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 14:43:02.239239] [  5]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 14:43:03.239254] [  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 14:43:04.239343] [  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 14:43:05.238435] [  5]  32.00-33.00  sec  2.42 MBytes  20.3 Mbits/sec  259    297 KBytes       
[2026-01-19 14:43:06.238299] [  5]  33.00-34.00  sec  2.42 MBytes  20.3 Mbits/sec    0    338 KBytes       
[2026-01-19 14:43:07.238597] [  5]  34.00-35.00  sec  2.42 MBytes  20.3 Mbits/sec    0    365 KBytes       
[2026-01-19 14:43:08.238560] [  5]  35.00-36.00  sec  2.42 MBytes  20.3 Mbits/sec    0    379 KBytes       
[2026-01-19 14:43:09.238233] [  5]  36.00-37.00  sec  3.23 MBytes  27.1 Mbits/sec    0    387 KBytes       
[2026-01-19 14:43:10.238407] [  5]  37.00-38.00  sec  2.42 MBytes  20.3 Mbits/sec    1    303 KBytes       
[2026-01-19 14:43:11.238390] [  5]  38.00-39.00  sec  2.42 MBytes  20.3 Mbits/sec    0    342 KBytes       
[2026-01-19 14:43:12.238470] [  5]  39.00-40.00  sec  2.42 MBytes  20.3 Mbits/sec    0    366 KBytes       
[2026-01-19 14:43:13.238517] [  5]  40.00-41.00  sec  2.42 MBytes  20.3 Mbits/sec    0    380 KBytes       
[2026-01-19 14:43:14.239241] [  5]  41.00-42.00  sec   827 KBytes  6.77 Mbits/sec  259    267 KBytes       
[2026-01-19 14:43:15.238226] [  5]  42.00-43.00  sec  3.23 MBytes  27.1 Mbits/sec    0    313 KBytes       
[2026-01-19 14:43:16.238302] [  5]  43.00-44.00  sec  2.42 MBytes  20.3 Mbits/sec    0    348 KBytes       
[2026-01-19 14:43:17.238412] [  5]  44.00-45.00  sec  2.42 MBytes  20.3 Mbits/sec    0    368 KBytes       
[2026-01-19 14:43:18.238372] [  5]  45.00-46.00  sec  2.42 MBytes  20.3 Mbits/sec    0    379 KBytes       
[2026-01-19 14:43:19.238653] [  5]  46.00-47.00  sec  2.42 MBytes  20.3 Mbits/sec    0    382 KBytes       
[2026-01-19 14:43:20.238294] [  5]  47.00-48.00  sec  3.23 MBytes  27.1 Mbits/sec    0    382 KBytes       
[2026-01-19 14:43:21.238293] [  5]  48.00-49.00  sec  2.42 MBytes  20.3 Mbits/sec    0    382 KBytes       
[2026-01-19 14:43:22.238245] [  5]  49.00-50.00  sec  2.42 MBytes  20.3 Mbits/sec    0    387 KBytes       
[2026-01-19 14:43:23.238396] [  5]  50.00-51.00  sec  2.42 MBytes  20.3 Mbits/sec    2    298 KBytes       
[2026-01-19 14:43:24.238456] [  5]  51.00-52.00  sec  2.42 MBytes  20.3 Mbits/sec    0    339 KBytes       
[2026-01-19 14:43:25.238282] [  5]  52.00-53.00  sec  3.23 MBytes  27.1 Mbits/sec    0    365 KBytes       
[2026-01-19 14:43:26.238256] [  5]  53.00-54.00  sec  2.42 MBytes  20.3 Mbits/sec    0    380 KBytes       
[2026-01-19 14:43:27.238299] [  5]  54.00-55.00  sec  2.73 MBytes  22.9 Mbits/sec    1    270 KBytes       
[2026-01-19 14:43:28.238270] [  5]  55.00-56.00  sec  2.42 MBytes  20.3 Mbits/sec    0    298 KBytes       
[2026-01-19 14:43:29.238378] [  5]  56.00-57.00  sec  2.42 MBytes  20.3 Mbits/sec    0    317 KBytes       
[2026-01-19 14:43:30.238455] [  5]  57.00-58.00  sec  2.42 MBytes  20.3 Mbits/sec    0    327 KBytes       
[2026-01-19 14:43:31.238567] [  5]  58.00-59.00  sec  2.42 MBytes  20.3 Mbits/sec    0    328 KBytes       
[2026-01-19 14:43:32.238276] [  5]  59.00-60.00  sec  3.23 MBytes  27.1 Mbits/sec    0    328 KBytes       
[2026-01-19 14:43:33.238334] [  5]  60.00-61.00  sec  2.42 MBytes  20.3 Mbits/sec    0    328 KBytes       
[2026-01-19 14:43:34.238331] [  5]  61.00-62.00  sec  2.42 MBytes  20.3 Mbits/sec    0    335 KBytes       
[2026-01-19 14:43:35.238436] [  5]  62.00-63.00  sec  2.42 MBytes  20.3 Mbits/sec    0    348 KBytes       
[2026-01-19 14:43:36.238520] [  5]  63.00-64.00  sec  2.42 MBytes  20.3 Mbits/sec    0    370 KBytes       
[2026-01-19 14:43:37.238310] [  5]  64.00-65.00  sec  3.23 MBytes  27.1 Mbits/sec    5    279 KBytes       
[2026-01-19 14:43:38.238265] [  5]  65.00-66.00  sec  2.42 MBytes  20.3 Mbits/sec    0    327 KBytes       
[2026-01-19 14:43:39.238361] [  5]  66.00-67.00  sec  2.42 MBytes  20.3 Mbits/sec    0    361 KBytes       
[2026-01-19 14:43:40.238498] [  5]  67.00-68.00  sec  2.42 MBytes  20.3 Mbits/sec    0    380 KBytes       
[2026-01-19 14:43:41.238417] [  5]  68.00-69.00  sec  2.67 MBytes  22.4 Mbits/sec    2    272 KBytes       
[2026-01-19 14:43:42.238580] [  5]  69.00-70.00  sec  2.42 MBytes  20.3 Mbits/sec    0    300 KBytes       
[2026-01-19 14:43:43.238602] [  5]  70.00-71.00  sec  2.42 MBytes  20.3 Mbits/sec    0    318 KBytes       
[2026-01-19 14:43:44.238298] [  5]  71.00-72.00  sec  1.62 MBytes  13.6 Mbits/sec  215    225 KBytes       
[2026-01-19 14:43:45.238280] [  5]  72.00-73.00  sec  2.42 MBytes  20.3 Mbits/sec    0    267 KBytes       
[2026-01-19 14:43:46.238294] [  5]  73.00-74.00  sec  2.42 MBytes  20.3 Mbits/sec    0    296 KBytes       
[2026-01-19 14:43:47.238467] [  5]  74.00-75.00  sec  2.42 MBytes  20.3 Mbits/sec    0    311 KBytes       
[2026-01-19 14:43:48.238219] [  5]  75.00-76.00  sec  2.42 MBytes  20.3 Mbits/sec    0    318 KBytes       
[2026-01-19 14:43:49.238320] [  5]  76.00-77.00  sec  3.23 MBytes  27.1 Mbits/sec    0    320 KBytes       
[2026-01-19 14:43:50.238409] [  5]  77.00-78.00  sec  2.42 MBytes  20.3 Mbits/sec    0    320 KBytes       
[2026-01-19 14:43:51.238404] [  5]  78.00-79.00  sec  2.42 MBytes  20.3 Mbits/sec    3    272 KBytes       
[2026-01-19 14:43:52.238489] [  5]  79.00-80.00  sec  2.42 MBytes  20.3 Mbits/sec    0    263 KBytes       
[2026-01-19 14:43:53.238347] [  5]  80.00-81.00  sec  2.42 MBytes  20.3 Mbits/sec    0    291 KBytes       
[2026-01-19 14:43:54.238393] [  5]  81.00-82.00  sec  2.42 MBytes  20.3 Mbits/sec    0    310 KBytes       
[2026-01-19 14:43:55.238313] [  5]  82.00-83.00  sec  2.42 MBytes  20.3 Mbits/sec    0    320 KBytes       
[2026-01-19 14:43:56.238521] [  5]  83.00-84.00  sec  2.42 MBytes  20.3 Mbits/sec    0    321 KBytes       
[2026-01-19 14:43:57.238542] [  5]  84.00-85.00  sec  2.42 MBytes  20.3 Mbits/sec    0    321 KBytes       
[2026-01-19 14:43:58.238584] [  5]  85.00-86.00  sec  2.49 MBytes  20.9 Mbits/sec    0    322 KBytes       
[2026-01-19 14:43:59.239231] [  5]  86.00-87.00  sec   827 KBytes  6.77 Mbits/sec    1   1.41 KBytes       
[2026-01-19 14:44:00.239284] [  5]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 14:44:01.239384] [  5]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 14:44:02.239245] [  5]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 14:44:03.239319] [  5]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 14:44:04.239503] [  5]  91.00-92.00  sec  1.62 MBytes  13.6 Mbits/sec  179    245 KBytes       
[2026-01-19 14:44:05.238406] [  5]  92.00-93.00  sec  2.42 MBytes  20.4 Mbits/sec    0    281 KBytes       
[2026-01-19 14:44:06.238407] [  5]  93.00-94.00  sec  2.49 MBytes  20.9 Mbits/sec    0    305 KBytes       
[2026-01-19 14:44:07.238306] [  5]  94.00-95.00  sec  2.42 MBytes  20.3 Mbits/sec    0    317 KBytes       
[2026-01-19 14:44:08.238415] [  5]  95.00-96.00  sec  2.42 MBytes  20.3 Mbits/sec    0    322 KBytes       
[2026-01-19 14:44:09.238332] [  5]  96.00-97.00  sec  2.42 MBytes  20.3 Mbits/sec    0    322 KBytes       
[2026-01-19 14:44:10.238314] [  5]  97.00-98.00  sec  2.42 MBytes  20.3 Mbits/sec    0    322 KBytes       
[2026-01-19 14:44:11.238667] [  5]  98.00-99.00  sec  1.62 MBytes  13.5 Mbits/sec    0    325 KBytes       
[2026-01-19 14:44:12.239381] [  5]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 14:44:13.239276] [  5] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 14:44:14.239704] [  5] 101.00-102.00 sec   827 KBytes  6.77 Mbits/sec  222   55.1 KBytes       
[2026-01-19 14:44:15.239017] [  5] 102.00-103.00 sec  2.42 MBytes  20.3 Mbits/sec    3   86.3 KBytes       
[2026-01-19 14:44:16.238530] [  5] 103.00-104.00 sec  1.62 MBytes  13.6 Mbits/sec    5   82.0 KBytes       
