[2026-01-19 15:38:41.413760] Connecting to host 172.16.0.1, port 5001
[2026-01-19 15:38:41.534113] [  5] local 172.16.0.100 port 35406 connected to 172.16.0.1 port 5001
[2026-01-19 15:39:30.573605] [  5]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:39:31.573582] [  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:39:32.573559] [  5]  50.00-51.00  sec   384 KBytes  3.15 Mbits/sec   10   49.5 KBytes       
[2026-01-19 15:39:33.573559] [  5]  51.00-52.00  sec   640 KBytes  5.24 Mbits/sec    9   26.9 KBytes       
[2026-01-19 15:39:34.573633] [  5]  52.00-53.00  sec   512 KBytes  4.19 Mbits/sec    2   25.5 KBytes       
[2026-01-19 15:39:35.573643] [  5]  53.00-54.00  sec   896 KBytes  7.34 Mbits/sec    9   29.7 KBytes       
[2026-01-19 15:39:36.573570] [  5]  54.00-55.00  sec   896 KBytes  7.34 Mbits/sec    4   36.8 KBytes       
[2026-01-19 15:39:37.573567] [  5]  55.00-56.00  sec   640 KBytes  5.24 Mbits/sec    5   18.4 KBytes       
[2026-01-19 15:39:38.573612] [  5]  56.00-57.00  sec   512 KBytes  4.19 Mbits/sec    3   19.8 KBytes       
[2026-01-19 15:39:39.573558] [  5]  57.00-58.00  sec   640 KBytes  5.24 Mbits/sec    1   25.5 KBytes       
[2026-01-19 15:39:40.573622] [  5]  58.00-59.00  sec   512 KBytes  4.19 Mbits/sec   10   11.3 KBytes       
[2026-01-19 15:39:41.573612] [  5]  59.00-60.00  sec   384 KBytes  3.15 Mbits/sec    3   17.0 KBytes       
[2026-01-19 15:39:42.573574] [  5]  60.00-61.00  sec   896 KBytes  7.34 Mbits/sec    0   41.0 KBytes       
[2026-01-19 15:39:43.573557] [  5]  61.00-62.00  sec   768 KBytes  6.29 Mbits/sec    3   38.2 KBytes       
[2026-01-19 15:39:44.573700] [  5]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[2026-01-19 15:39:45.573661] [  5]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec   22   26.9 KBytes       
[2026-01-19 15:39:46.573574] [  5]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:39:47.573625] [  5]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:39:48.573749] [  5]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:39:49.573609] [  5]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:39:50.573579] [  5]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:39:51.573589] [  5]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:39:52.573726] [  5]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:39:53.573581] [  5]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:39:54.573560] [  5]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:39:55.573605] [  5]  73.00-74.00  sec   128 KBytes  1.05 Mbits/sec   15   22.6 KBytes       
[2026-01-19 15:39:56.573714] [  5]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:39:57.573757] [  5]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:39:58.573601] [  5]  76.00-77.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:39:59.573611] [  5]  77.00-78.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:40:00.573766] [  5]  78.00-79.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:40:01.573566] [  5]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:40:02.573555] [  5]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:40:03.573662] [  5]  81.00-82.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:40:04.573618] [  5]  82.00-83.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:40:05.573647] [  5]  83.00-84.00  sec  0.00 Bytes  0.00 bits/sec    0   22.6 KBytes       
[2026-01-19 15:40:06.573560] [  5]  84.00-85.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:40:07.573561] [  5]  85.00-86.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:08.573605] [  5]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:09.573620] [  5]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:10.573560] [  5]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:11.573562] [  5]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:12.573558] [  5]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:13.573720] [  5]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:14.573565] [  5]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:15.573566] [  5]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:16.573594] [  5]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:17.573557] [  5]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:18.573604] [  5]  96.00-97.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:19.573722] [  5]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:20.573643] [  5]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:21.573776] [  5]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:22.573608] [  5] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:23.573641] [  5] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:24.573603] [  5] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:25.573628] [  5] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:26.573564] [  5] 104.00-105.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:27.573620] [  5] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:28.573647] [  5] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:29.573642] [  5] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:40:30.573573] [  5] 108.00-109.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:31.573660] [  5] 109.00-110.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:32.573773] [  5] 110.00-111.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:33.573561] [  5] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:34.573574] [  5] 112.00-113.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:35.573556] [  5] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:36.573606] [  5] 114.00-115.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:37.573576] [  5] 115.00-116.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:38.573557] [  5] 116.00-117.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:39.573555] [  5] 117.00-118.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:40.573566] [  5] 118.00-119.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:41.573577] [  5] 119.00-120.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:42.573555] [  5] 120.00-121.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:43.573567] [  5] 121.00-122.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:44.573679] [  5] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:45.573694] [  5] 123.00-124.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:46.573580] [  5] 124.00-125.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:47.573605] [  5] 125.00-126.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:48.573716] [  5] 126.00-127.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:49.573680] [  5] 127.00-128.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:50.573650] [  5] 128.00-129.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:51.573643] [  5] 129.00-130.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:52.573605] [  5] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2026-01-19 15:40:53.573599] [  5] 131.00-132.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
