time,Altitude,Bandwidth(MBits/sec),BatteryVolts,GPSFix,ID,Interval(sec),Latitude,Longitude,NumberOfSatellites,Pitch,Roll,Transfer(MBytes),VelocityX,VelocityY,VelocityZ,Yaw,num
2026-01-19 15:39:09.790553,23.5000000000,3.2983827492,46.1830000000,4.0000000000,5.0000000000,,35.7274715000,-78.6962512000,29.0000000000,-0.0281255804,-0.0205827355,402.3587856731,0.0000000000,-0.0300000000,-1.3200000000,-0.0788338929,44.0000000000
2026-01-19 15:39:10.795116,24.6280000000,1.7999430702,46.3560000000,4.0000000000,5.0000000000,,35.7274717000,-78.6962511000,29.0000000000,-0.0393729210,-0.0242138021,220.3668618714,0.0800000000,0.0400000000,-0.7500000000,-0.0751095489,45.0000000000
2026-01-19 15:39:11.798040,25.0450000000,0.3658310997,46.1840000000,4.0000000000,5.0000000000,,35.7274733000,-78.6962503000,29.0000000000,-0.0123846335,-0.0403841101,44.6410637101,0.2300000000,0.0200000000,-0.0200000000,-0.0767038092,46.0000000000
2026-01-19 15:39:12.800981,24.9220000000,2.3738879842,45.9130000000,4.0000000000,5.0000000000,,35.7274748000,-78.6962501000,29.0000000000,0.0014432659,-0.0307024606,289.6974202964,0.0900000000,-0.0200000000,0.0800000000,-0.0807662457,47.0000000000
2026-01-19 15:39:13.804551,24.9310000000,3.0111745420,46.0160000000,4.0000000000,5.0000000000,,35.7274747000,-78.6962503000,29.0000000000,-0.0069609685,-0.0329583511,367.4757020579,-0.1300000000,-0.0400000000,-0.1200000000,-0.0787671134,48.0000000000
2026-01-19 15:39:14.808265,24.9570000000,3.4205389761,45.9980000000,4.0000000000,5.0000000000,,35.7274732000,-78.6962506000,29.0000000000,-0.0240604766,-0.0253244117,416.9547637437,-0.1700000000,-0.0200000000,-0.0500000000,-0.0780708939,49.0000000000
2026-01-19 15:39:15.811439,24.9320000000,3.2602953899,45.7530000000,4.0000000000,5.0000000000,,35.7274720000,-78.6962525000,29.0000000000,-0.0377501510,-0.3082606792,397.4278896234,-0.1200000000,-0.8100000000,0.0700000000,-0.0796880051,50.0000000000
2026-01-19 15:39:16.815225,24.9270000000,5.3626212969,45.6980000000,4.0000000000,5.0000000000,,35.7274705000,-78.6962767000,29.0000000000,-0.0254383758,-0.3229105771,654.6338091950,-0.2300000000,-3.4700000000,-0.0100000000,-0.0796831101,51.0000000000
2026-01-19 15:39:17.818741,25.0990000000,4.7104733521,46.1460000000,4.0000000000,5.0000000000,,35.7274684000,-78.6963252000,29.0000000000,-0.0195328854,-0.1204025298,574.7544581654,-0.2400000000,-4.9100000000,-0.1100000000,-0.0836441964,52.0000000000
2026-01-19 15:39:18.822338,25.1290000000,7.4597688559,46.3020000000,4.0000000000,5.0000000000,,35.7274653000,-78.6963800000,29.0000000000,-0.0120679755,-0.0900894254,910.6645231636,-0.4500000000,-5.0300000000,0.1400000000,-0.0854247659,53.0000000000
