time,Altitude,Bandwidth(MBits/sec),BatteryVolts,GPSFix,ID,Interval(sec),Latitude,Longitude,NumberOfSatellites,Pitch,Roll,Transfer(MBytes),VelocityX,VelocityY,VelocityZ,Yaw,num
2026-01-19 15:38:42.699012,-1.4910000000,20.1857103249,48.3750000000,4.0000000000,5.0000000000,,35.7274726000,-78.6962508000,29.0000000000,-0.0308390073,-0.0735527128,2.4085710325,0.0000000000,-0.0100000000,0.0000000000,0.0339559503,17.0000000000
2026-01-19 15:38:43.702115,-1.5010000000,17.1680700299,48.3650000000,4.0000000000,5.0000000000,,35.7274726000,-78.6962509000,29.0000000000,-0.0306441113,-0.0734053403,2.0499188095,0.0000000000,-0.0100000000,0.0000000000,0.0342414565,18.0000000000
2026-01-19 15:38:44.705647,-1.5100000000,2.6009269691,48.3680000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962509000,29.0000000000,-0.0306433104,-0.0733508617,0.3106249923,0.0000000000,0.0000000000,0.0000000000,0.0345930904,19.0000000000
2026-01-19 15:38:45.708675,-1.5050000000,18.1409602326,48.3680000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962508000,29.0000000000,-0.0306713544,-0.0731007010,2.1663047896,0.0000000000,0.0000000000,0.0000000000,0.0344108380,20.0000000000
2026-01-19 15:38:46.711560,-1.5180000000,21.6689015046,48.3630000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962508000,29.0000000000,-0.0310131013,-0.0729345530,2.5868901505,0.0000000000,0.0000000000,0.0000000000,0.0343747139,21.0000000000
2026-01-19 15:38:47.714559,-1.5140000000,21.5158488160,48.3730000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962508000,29.0000000000,-0.0309045203,-0.0730958283,2.5700000000,-0.0100000000,0.0000000000,0.0000000000,0.0344753712,22.0000000000
2026-01-19 15:38:48.718086,-1.5250000000,19.2852127691,48.3650000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962507000,29.0000000000,-0.0308913440,-0.0731144547,146.6456617784,-0.0100000000,0.0100000000,0.0000000000,0.0345869102,23.0000000000
2026-01-19 15:38:49.721840,-1.5160000000,7.2237935994,48.3690000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962506000,29.0000000000,-0.0309852809,-0.0732199997,881.5557630025,-0.0100000000,0.0000000000,0.0000000000,0.0346478857,24.0000000000
2026-01-19 15:38:50.724920,-1.5270000000,6.8626118314,48.3600000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962506000,29.0000000000,-0.0311926380,-0.0731789023,837.7809656537,-0.0100000000,0.0000000000,0.0000000000,0.0347461179,25.0000000000
2026-01-19 15:38:51.728848,-1.5230000000,7.1474323606,48.3560000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962506000,29.0000000000,-0.0313516706,-0.0735210776,872.1882152172,-0.0100000000,0.0000000000,0.0000000000,0.0349231213,26.0000000000
2026-01-19 15:38:52.732835,-1.5120000000,5.5981211838,48.3620000000,4.0000000000,5.0000000000,,35.7274726000,-78.6962506000,29.0000000000,-0.0313206390,-0.0736582279,683.3000856637,0.0000000000,0.0000000000,0.0000000000,0.0352256559,27.0000000000
2026-01-19 15:38:53.736521,-1.4920000000,4.1825661016,48.3710000000,4.0000000000,5.0000000000,,35.7274726000,-78.6962506000,29.0000000000,-0.0313393958,-0.0737283975,0.5102009512,0.0000000000,0.0000000000,0.0000000000,0.0353286043,28.0000000000
2026-01-19 15:38:54.740199,0.0030000000,20.2980350671,48.3670000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962506000,29.0000000000,-0.0314955153,-0.0736062676,169.5033247684,0.0000000000,0.0000000000,0.0000000000,0.0353428647,29.0000000000
2026-01-19 15:38:55.744048,-0.0020000000,7.4174414824,48.3640000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962506000,29.0000000000,-0.0316593051,-0.0733748227,905.3681729490,0.0000000000,0.0000000000,0.0000000000,0.0351699814,30.0000000000
2026-01-19 15:38:56.748877,-0.0140000000,7.2756533406,48.2000000000,4.0000000000,5.0000000000,,35.7274727000,-78.6962506000,29.0000000000,-0.0316972919,-0.0729107261,888.4084646831,0.0000000000,0.0000000000,0.0000000000,0.0353961475,31.0000000000
