time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,Interval(sec),Latency(sec),Bandwidth(MBits/sec)
2026-01-28 16:56:39.754647,36.0000000000,-78.6962750000,35.7273025000,13.2100000000,0.0033090918,0.0026683847,0.0027814899,-0.0100000000,0.0100000000,-2.4400000000,12.5870000000,6.0000000000,10.0000000000,0.3946806712,5.2187690883,0.3156677538
2026-01-28 16:56:40.761256,37.0000000000,-78.6962749000,35.7273025000,15.7070000000,0.0025673269,0.0027968388,0.0025673790,-0.0100000000,0.0100000000,-2.4500000000,12.5870000000,6.0000000000,10.0000000000,0.4240763848,6.1211908501,0.2163765154
2026-01-28 16:56:41.766555,38.0000000000,-78.6962749000,35.7273025000,18.2070000000,0.0038827783,0.0038989054,0.0025850993,-0.0100000000,0.0000000000,-2.4500000000,12.5870000000,6.0000000000,10.0000000000,1.4201608542,6.0314607151,0.2098048756
2026-01-28 16:56:42.772118,39.0000000000,-78.6962749000,35.7273025000,20.6380000000,0.0032985574,0.0024104451,0.0033973053,-0.0100000000,0.0000000000,-2.1800000000,12.5870000000,6.0000000000,10.0000000000,2.4165070941,5.9417069990,0.2032315088
2026-01-28 16:56:43.778629,40.0000000000,-78.6962749000,35.7273025000,22.5790000000,0.0033282898,0.0036331613,0.0049769855,-0.0100000000,0.0100000000,-1.6100000000,12.5870000000,6.0000000000,10.0000000000,3.4137926129,5.8518686701,0.1966519451
2026-01-28 16:56:44.784365,41.0000000000,-78.6962750000,35.7273025000,23.9490000000,0.0032603650,0.0027778056,0.0045342236,-0.0100000000,0.0100000000,-1.1000000000,12.5870000000,6.0000000000,10.0000000000,4.4103100689,5.7620995304,0.1900774487
2026-01-28 16:56:45.786196,42.0000000000,-78.6962750000,35.7273025000,24.7840000000,0.0037845166,0.0029343211,0.0042008446,-0.0100000000,0.0200000000,-0.5500000000,12.5870000000,6.0000000000,10.0000000000,5.4029582940,5.6726789421,0.1835284794
2026-01-28 16:56:47.090672,43.0000000000,-78.6962750000,35.7273025000,24.9930000000,0.0039470117,0.0032622889,0.0038140377,-0.0200000000,0.0200000000,0.0500000000,12.5870000000,6.0000000000,10.0000000000,6.6954777495,5.5562450966,0.1750011179
2026-01-28 16:56:48.096800,44.0000000000,-78.6962750000,35.7273025000,24.9510000000,0.0039158901,0.0029802474,0.0039325459,-0.0200000000,0.0200000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,7.6923835490,5.4664409738,0.1684240594
2026-01-28 16:56:49.098709,45.0000000000,-78.6962750000,35.7273026000,24.9530000000,0.0045478595,0.0032456042,0.0035557775,-0.0200000000,0.0200000000,-0.0400000000,12.5870000000,6.0000000000,10.0000000000,8.6851091384,5.3770134163,0.1618745797
2026-01-28 16:56:50.105049,46.0000000000,-78.6962752000,35.7273026000,24.9570000000,-0.0209781174,0.0041783694,-0.0602473393,0.0300000000,-0.1400000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,9.6822252167,5.2871903511,0.1552961339
2026-01-28 16:56:51.107064,47.0000000000,-78.6962888000,35.7273069000,24.9500000000,-0.1103500947,0.0216700677,-0.2961122394,0.9400000000,-2.4100000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,10.6750558187,5.1977533337,0.1487459614
2026-01-28 16:56:52.110459,48.0000000000,-78.6963268000,35.7273192000,24.9550000000,-0.0889436975,0.0100744888,-0.2501689196,1.6700000000,-4.1800000000,-0.0300000000,12.5870000000,6.0000000000,10.0000000000,11.6692536131,5.1081931558,0.1421867689
2026-01-28 16:56:53.115924,49.0000000000,-78.6963757000,35.7273350000,24.9570000000,-0.0619459040,0.0090192929,-0.2044273317,1.8000000000,-4.5200000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,12.6655027037,5.0184481913,0.1356140430
2026-01-28 16:56:54.123343,50.0000000000,-78.6964273000,35.7273517000,24.9620000000,-0.0591648258,0.0058519621,-0.2026131749,1.8500000000,-4.6800000000,-0.0200000000,12.5870000000,6.0000000000,10.0000000000,13.6636879316,4.9285288139,0.1290285435
2026-01-28 16:56:55.124287,51.0000000000,-78.6964802000,35.7273688000,24.9720000000,-0.0544051714,0.0057653352,-0.1927465647,1.8400000000,-4.7100000000,-0.0100000000,12.5870000000,6.0000000000,10.0000000000,14.6554572472,4.8391874003,0.1224853728
