time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,Interval(sec),Latency(sec),Bandwidth(MBits/sec)
2026-01-28 16:56:29.767118,27.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0011002339,-0.0082220910,0.0013540857,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,21.6435080251,0.1426013162,0.8137458662
2026-01-28 16:56:30.772997,28.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0013667007,-0.0078058606,0.0016155641,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,22.6299556565,0.1407704738,0.7292204073
2026-01-28 16:56:31.774765,29.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0016529342,-0.0073684966,0.0019097984,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,23.6123717034,0.1389471140,0.6450404016
2026-01-28 16:56:32.780803,30.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0019537283,-0.0068930564,0.0022205780,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,24.5989752633,0.1371159822,0.5605015817
2026-01-28 16:56:33.786545,31.0000000000,-78.6962747000,35.7273023000,0.0870000000,0.0022672098,-0.0063930787,0.0025287019,0.0000000000,0.0000000000,-0.3000000000,12.5870000000,6.0000000000,10.0000000000,25.5852885413,0.1352853892,0.4759876350
2026-01-28 16:56:34.789558,32.0000000000,-78.6962748000,35.7273024000,1.1640000000,0.0013918267,-0.0068369755,0.0016549174,0.0000000000,0.0000000000,-1.4500000000,12.5870000000,6.0000000000,10.0000000000,26.5689255376,0.1334597634,0.3917030102
2026-01-28 16:56:35.790530,33.0000000000,-78.6962749000,35.7273025000,3.1760000000,0.0031990241,0.0029724645,0.0035937664,0.0000000000,0.0000000000,-2.4200000000,12.5870000000,6.0000000000,10.0000000000,27.5505609614,0.1316378524,0.3075898935
2026-01-28 16:56:37.743644,34.0000000000,-78.6962750000,35.7273025000,7.9920000000,0.0034693943,0.0029242625,0.0042468524,-0.0100000000,0.0200000000,-2.4100000000,12.5870000000,6.0000000000,10.0000000000,29.4659450973,0.1280829080,0.1434669153
2026-01-28 16:56:38.748851,35.0000000000,-78.6962750000,35.7273025000,10.4740000000,0.0032914984,0.0031761031,0.0035851269,-0.0100000000,0.0200000000,-2.4200000000,12.5870000000,6.0000000000,10.0000000000,30.4517337103,0.1262532888,0.0589979255
2026-01-28 16:56:39.754647,36.0000000000,-78.6962750000,35.7273025000,13.2100000000,0.0033090918,0.0026683847,0.0027814899,-0.0100000000,0.0100000000,-2.4400000000,12.5870000000,6.0000000000,10.0000000000,0.1637999012,0.2269004197,2.9376941025
2026-01-28 16:56:40.761256,37.0000000000,-78.6962749000,35.7273025000,15.7070000000,0.0025673269,0.0027968388,0.0025673790,-0.0100000000,0.0100000000,-2.4500000000,12.5870000000,6.0000000000,10.0000000000,0.4933551974,0.8135656152,3.4878421165
2026-01-28 16:56:41.766555,38.0000000000,-78.6962749000,35.7273025000,18.2070000000,0.0038827783,0.0038989054,0.0025850993,-0.0100000000,0.0000000000,-2.4500000000,12.5870000000,6.0000000000,10.0000000000,1.4470529171,0.8622616501,1.4137775248
2026-01-28 16:56:42.772118,39.0000000000,-78.6962749000,35.7273025000,20.6380000000,0.0032985574,0.0024104451,0.0033973053,-0.0100000000,0.0000000000,-2.1800000000,12.5870000000,6.0000000000,10.0000000000,1.9234528824,0.9177400662,0.0589131019
2026-01-28 16:56:43.778629,40.0000000000,-78.6962749000,35.7273025000,22.5790000000,0.0033282898,0.0036331613,0.0049769855,-0.0100000000,0.0100000000,-1.6100000000,12.5870000000,6.0000000000,10.0000000000,1.5090071765,0.9859055371,0.0461013751
