time,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-29 13:45:50.536303,5,157.00-158.00,1.44,1.44
2026-01-29 13:45:51.536278,5,158.00-159.00,1.24,1.24
2026-01-29 13:45:52.536301,5,159.00-160.00,1.25,1.25
2026-01-29 13:45:53.536297,5,160.00-161.00,1.11,1.11
2026-01-29 13:45:54.536434,5,161.00-162.00,1.08,1.08
2026-01-29 13:45:55.536905,5,162.00-163.00,1.22,1.22
2026-01-29 13:45:56.536579,5,163.00-164.00,1.16,1.16
2026-01-29 13:45:57.536306,5,164.00-165.00,741,741
2026-01-29 13:45:58.536305,5,165.00-166.00,1.39,1.39
2026-01-29 13:45:59.536305,5,166.00-167.00,1.26,1.26
2026-01-29 13:46:00.536307,5,167.00-168.00,1.64,1.64
2026-01-29 13:46:01.536856,5,168.00-169.00,1.33,1.33
2026-01-29 13:46:02.536303,5,169.00-170.00,1.05,1.05
2026-01-29 13:46:03.537261,5,170.00-171.00,1.68,1.68
2026-01-29 13:46:04.536310,5,171.00-172.00,1.42,1.42
2026-01-29 13:46:05.536682,5,172.00-173.00,1.20,1.20
2026-01-29 13:46:06.536496,5,173.00-174.00,1.23,1.23
2026-01-29 13:46:07.537279,5,174.00-175.00,857,857
2026-01-29 13:46:08.536269,5,175.00-176.00,1.30,1.30
2026-01-29 13:46:09.536317,5,176.00-177.00,1.04,1.04
2026-01-29 13:46:10.537099,5,177.00-178.00,1.02,1.02
2026-01-29 13:46:11.536333,5,178.00-179.00,1.26,1.26
2026-01-29 13:46:12.536310,5,179.00-180.00,1.19,1.19
2026-01-29 13:46:13.536274,5,180.00-181.00,1.12,1.12
2026-01-29 13:46:14.536503,5,181.00-182.00,764,764
2026-01-29 13:46:15.536288,5,182.00-183.00,904,904
2026-01-29 13:46:16.536487,5,183.00-184.00,869,869
2026-01-29 13:46:17.536438,5,184.00-185.00,880,880
2026-01-29 13:46:18.536320,5,185.00-186.00,950,950
2026-01-29 13:46:19.536302,5,186.00-187.00,741,741
2026-01-29 13:46:20.536929,5,187.00-188.00,788,788
2026-01-29 13:46:21.536326,5,188.00-189.00,846,846
2026-01-29 13:46:22.536310,5,189.00-190.00,846,846
2026-01-29 13:46:23.536302,5,190.00-191.00,637,637
2026-01-29 13:46:24.536315,5,191.00-192.00,626,626
2026-01-29 13:46:25.536255,5,192.00-193.00,510,510
2026-01-29 13:46:26.536341,5,193.00-194.00,614,614
2026-01-29 13:46:27.536320,5,194.00-195.00,591,591
2026-01-29 13:46:28.536288,5,195.00-196.00,475,475
2026-01-29 13:46:29.536294,5,196.00-197.00,440,440
2026-01-29 13:46:30.536297,5,197.00-198.00,429,429
2026-01-29 13:46:31.536306,5,198.00-199.00,452,452
2026-01-29 13:46:32.536306,5,199.00-200.00,405,405
2026-01-29 13:46:33.536314,5,200.00-201.00,510,510
2026-01-29 13:46:34.536308,5,201.00-202.00,579,579
2026-01-29 13:46:35.536729,5,202.00-203.00,486,486
2026-01-29 13:46:36.536315,5,203.00-204.00,487,487
2026-01-29 13:46:37.536331,5,204.00-205.00,463,463
2026-01-29 13:46:38.536371,5,205.00-206.00,452,452
2026-01-29 13:46:39.536321,5,206.00-207.00,591,591
2026-01-29 13:46:40.536325,5,207.00-208.00,475,475
2026-01-29 13:46:41.536276,5,208.00-209.00,382,382
2026-01-29 13:46:42.539844,5,209.00-210.00,416,416
2026-01-29 13:46:43.536340,5,210.00-211.00,407,407
2026-01-29 13:46:44.536302,5,211.00-212.00,521,521
2026-01-29 13:46:45.536311,5,212.00-213.00,405,405
2026-01-29 13:46:46.536317,5,213.00-214.00,556,556
2026-01-29 13:46:47.536321,5,214.00-215.00,382,382
2026-01-29 13:46:48.536341,5,215.00-216.00,359,359
2026-01-29 13:46:49.536271,5,216.00-217.00,602,602
2026-01-29 13:46:50.536662,5,217.00-218.00,428,428
2026-01-29 13:46:51.536399,5,218.00-219.00,475,475
2026-01-29 13:46:52.536306,5,219.00-220.00,533,533
2026-01-29 13:46:53.536994,5,220.00-221.00,556,556
2026-01-29 13:46:54.536297,5,221.00-222.00,533,533
2026-01-29 13:46:55.536298,5,222.00-223.00,394,394
2026-01-29 13:46:56.536322,5,223.00-224.00,510,510
2026-01-29 13:46:57.536305,5,224.00-225.00,498,498
2026-01-29 13:46:58.536328,5,225.00-226.00,475,475
2026-01-29 13:46:59.536318,5,226.00-227.00,405,405
2026-01-29 13:47:00.536316,5,227.00-228.00,440,440
2026-01-29 13:47:01.536316,5,228.00-229.00,336,336
2026-01-29 13:47:02.536304,5,229.00-230.00,394,394
2026-01-29 13:47:03.536302,5,230.00-231.00,521,521
2026-01-29 13:47:04.536303,5,231.00-232.00,429,429
2026-01-29 13:47:05.536313,5,232.00-233.00,463,463
2026-01-29 13:47:06.536630,5,233.00-234.00,463,463
2026-01-29 13:47:07.536292,5,234.00-235.00,348,348
2026-01-29 13:47:08.536298,5,235.00-236.00,278,278
2026-01-29 13:47:09.536311,5,236.00-237.00,220,220
2026-01-29 13:47:10.536324,5,237.00-238.00,243,243
2026-01-29 13:47:11.536307,5,238.00-239.00,301,301
2026-01-29 13:47:12.536296,5,239.00-240.00,313,313
2026-01-29 13:47:13.536301,5,240.00-241.00,371,371
2026-01-29 13:47:14.536349,5,241.00-242.00,255,255
2026-01-29 13:47:15.536315,5,242.00-243.00,290,290
2026-01-29 13:47:16.536273,5,243.00-244.00,255,255
2026-01-29 13:47:17.536312,5,244.00-245.00,313,313
2026-01-29 13:47:18.536306,5,245.00-246.00,243,243
2026-01-29 13:47:19.536296,5,246.00-247.00,255,255
2026-01-29 13:47:20.536287,5,247.00-248.00,174,174
2026-01-29 13:47:21.536305,5,248.00-249.00,394,394
2026-01-29 13:47:22.537328,5,249.00-250.00,174,174
2026-01-29 13:47:23.536303,5,250.00-251.00,394,394
2026-01-29 13:47:24.536296,5,251.00-252.00,266,266
2026-01-29 13:47:25.536273,5,252.00-253.00,174,174
2026-01-29 13:47:26.536963,5,253.00-254.00,127,127
2026-01-29 13:47:27.536304,5,254.00-255.00,139,139
2026-01-29 13:47:28.536452,5,255.00-256.00,69.5,69.5
2026-01-29 13:47:29.537259,5,256.00-257.00,0.00,0.00
2026-01-29 13:47:30.537405,5,257.00-258.00,0.00,0.00
2026-01-29 13:47:31.537255,5,258.00-259.00,0.00,0.00
2026-01-29 13:47:32.537261,5,259.00-260.00,0.00,0.00
2026-01-29 13:47:33.536304,5,260.00-261.00,116,116
2026-01-29 13:47:34.536264,5,261.00-262.00,278,278
2026-01-29 13:47:35.536313,5,262.00-263.00,255,255
2026-01-29 13:47:36.536326,5,263.00-264.00,220,220
2026-01-29 13:47:37.536717,5,264.00-265.00,81.1,81.1
2026-01-29 13:47:38.537251,5,265.00-266.00,0.00,0.00
2026-01-29 13:47:39.537249,5,266.00-267.00,0.00,0.00
2026-01-29 13:47:40.537258,5,267.00-268.00,0.00,0.00
