[2026-01-19 15:38:48.492673] Connecting to host 172.16.0.1, port 5003
[2026-01-19 15:38:48.613270] [  5] local 172.16.0.2 port 59582 connected to 172.16.0.1 port 5003
[2026-01-19 15:38:49.651707] [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[2026-01-19 15:38:49.651745] [  5]   0.00-1.00   sec   716 KBytes  5.87 Mbits/sec    0   74.9 KBytes       
[2026-01-19 15:38:50.651765] [  5]   1.00-2.00   sec   512 KBytes  4.19 Mbits/sec    0   96.2 KBytes       
[2026-01-19 15:38:51.651709] [  5]   2.00-3.00   sec   640 KBytes  5.24 Mbits/sec    0    122 KBytes       
[2026-01-19 15:38:52.651709] [  5]   3.00-4.00   sec   640 KBytes  5.24 Mbits/sec    0    151 KBytes       
[2026-01-19 15:38:53.651712] [  5]   4.00-5.00   sec  1.12 MBytes  9.44 Mbits/sec    0    199 KBytes       
[2026-01-19 15:38:54.651753] [  5]   5.00-6.00   sec  1.12 MBytes  9.44 Mbits/sec    2    165 KBytes       
[2026-01-19 15:38:55.651748] [  5]   6.00-7.00   sec   384 KBytes  3.15 Mbits/sec    0    192 KBytes       
[2026-01-19 15:38:56.651706] [  5]   7.00-8.00   sec   640 KBytes  5.24 Mbits/sec    0    211 KBytes       
[2026-01-19 15:38:57.651713] [  5]   8.00-9.00   sec   384 KBytes  3.15 Mbits/sec    0    221 KBytes       
[2026-01-19 15:38:58.651811] [  5]   9.00-10.00  sec   640 KBytes  5.24 Mbits/sec    0    225 KBytes       
[2026-01-19 15:38:59.651713] [  5]  10.00-11.00  sec  1.00 MBytes  8.39 Mbits/sec    0    225 KBytes       
[2026-01-19 15:39:00.651751] [  5]  11.00-12.00  sec   640 KBytes  5.24 Mbits/sec    7    175 KBytes       
[2026-01-19 15:39:01.651710] [  5]  12.00-13.00  sec   256 KBytes  2.10 Mbits/sec    0    191 KBytes       
[2026-01-19 15:39:02.651754] [  5]  13.00-14.00  sec   384 KBytes  3.15 Mbits/sec    0    214 KBytes       
[2026-01-19 15:39:03.651754] [  5]  14.00-15.00  sec   256 KBytes  2.10 Mbits/sec    0    222 KBytes       
[2026-01-19 15:39:04.651715] [  5]  15.00-16.00  sec   512 KBytes  4.19 Mbits/sec    1    171 KBytes       
[2026-01-19 15:39:05.651710] [  5]  16.00-17.00  sec   640 KBytes  5.24 Mbits/sec    1    158 KBytes       
[2026-01-19 15:39:06.651708] [  5]  17.00-18.00  sec   128 KBytes  1.05 Mbits/sec    5   96.2 KBytes       
