time,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-19 15:38:49.636110,5,0.00-1.00,406,3.32
2026-01-19 15:38:50.636110,5,1.00-2.00,420,3.44
2026-01-19 15:38:51.636074,5,2.00-3.00,522,4.27
2026-01-19 15:38:52.636073,5,3.00-4.00,592,4.85
2026-01-19 15:38:53.636092,5,4.00-5.00,947,7.76
2026-01-19 15:38:54.636084,5,5.00-6.00,1.00,8.42
2026-01-19 15:38:55.636108,5,6.00-7.00,488,4.00
2026-01-19 15:38:56.636088,5,7.00-8.00,508,4.16
2026-01-19 15:38:57.636095,5,8.00-9.00,502,4.11
2026-01-19 15:38:58.636088,5,9.00-10.00,642,5.26
2026-01-19 15:38:59.636074,5,10.00-11.00,964,7.90
2026-01-19 15:39:00.636083,5,11.00-12.00,624,5.11
2026-01-19 15:39:01.636098,5,12.00-13.00,238,1.95
2026-01-19 15:39:02.636074,5,13.00-14.00,369,3.02
2026-01-19 15:39:03.636077,5,14.00-15.00,351,2.87
2026-01-19 15:39:04.636240,5,15.00-16.00,481,3.94
2026-01-19 15:39:05.636261,5,16.00-17.00,587,4.81
2026-01-19 15:39:06.636195,5,17.00-18.00,192,1.58
2026-01-19 15:39:07.636217,5,18.00-19.00,0.00,0.00
2026-01-19 15:39:08.636074,5,19.00-20.00,413,3.38
2026-01-19 15:39:09.636094,5,20.00-21.00,428,3.51
2026-01-19 15:39:10.636055,5,21.00-22.00,262,2.14
2026-01-19 15:39:11.637036,5,22.00-23.00,0.00,0.00
2026-01-19 15:39:12.636074,5,23.00-24.00,277,2.27
2026-01-19 15:39:13.636107,5,24.00-25.00,354,2.90
2026-01-19 15:39:14.636093,5,25.00-26.00,434,3.56
2026-01-19 15:39:15.636081,5,26.00-27.00,335,2.75
2026-01-19 15:39:16.636075,5,27.00-28.00,691,5.66
2026-01-19 15:39:17.636110,5,28.00-29.00,488,4.00
2026-01-19 15:39:18.636055,5,29.00-30.00,963,7.89
2026-01-19 15:39:19.636247,5,30.00-31.00,682,5.58
2026-01-19 15:39:20.637046,5,31.00-32.00,0.00,0.00
2026-01-19 15:39:21.637029,5,32.00-33.00,0.00,0.00
2026-01-19 15:39:22.637047,5,33.00-34.00,0.00,0.00
2026-01-19 15:39:23.637026,5,34.00-35.00,0.00,0.00
2026-01-19 15:39:24.637056,5,35.00-36.00,0.00,0.00
2026-01-19 15:39:25.637028,5,36.00-37.00,0.00,0.00
2026-01-19 15:39:26.637046,5,37.00-38.00,0.00,0.00
2026-01-19 15:39:27.637034,5,38.00-39.00,0.00,0.00
2026-01-19 15:39:28.637031,5,39.00-40.00,0.00,0.00
2026-01-19 15:39:29.637037,5,40.00-41.00,0.00,0.00
